Month,"Coal, Net Summer Capacity ","Petroleum, Net Summer Capacity","Natural Gas, Net Summer Capacity ","Fossil Fuels, Net Summer Capacity","Nuclear Electric Power, Net Summer Capacity","Hydroelectric Pumped Storage, Net Summer Capacity","Conventional Hydroelectric Power, Net Summer Capacity","Wood, Net Summer Capacity","Waste, Net Summer Capacity","Geothermal, Net Summer Capacity","Solar, Net Summer Capacity ","Wind, Net Summer Capacity","Renewable Energy, Net Summer Capacity ","Battery Storage, Net Summer Capacity","Total Electric, Net Summer Capacity"
2011-09-01,317.927,51.997,414.226,786.084,101.347,22.293,78.645,7.075,4.492,2.413,1.17,42.976,136.77,0.036,1047.834
2011-10-01,317.619,51.992,413.994,785.538,101.347,22.293,78.63,7.039,4.514,2.413,1.192,43.426,137.214,0.068,1047.764
2011-11-01,317.854,51.983,414.684,786.455,101.347,22.293,78.642,7.069,4.523,2.413,1.296,44.118,138.059,0.068,1049.526
2011-12-01,317.64,51.482,415.191,786.247,101.419,22.293,78.652,7.077,4.536,2.409,1.524,45.676,139.873,0.068,1051.251
2012-01-01,305.965,46.659,414.12,768.69,101.602,22.326,78.354,7.372,4.635,2.465,1.627,46.868,141.319,0.083,1035.606
2012-02-01,305.979,46.661,414.704,769.29,101.602,22.326,78.476,7.362,4.646,2.477,1.66,47.901,142.522,0.083,1037.41
2012-03-01,305.963,46.805,414.797,769.511,101.602,22.326,78.492,7.362,4.68,2.527,1.67,48.086,142.816,0.083,1037.925
2012-04-01,305.995,46.815,416.519,771.274,101.602,22.326,78.492,7.362,4.686,2.527,1.743,48.392,143.201,0.083,1040.073
2012-05-01,306.014,46.96,416.624,771.543,101.625,22.326,78.517,7.362,4.689,2.556,1.941,48.792,143.858,0.083,1041.022
2012-06-01,306.832,47.108,417.773,773.659,101.625,22.326,78.517,7.462,4.7,2.574,2.077,49.293,144.624,0.093,1043.914
2012-07-01,307.43,47.109,418.093,774.577,101.747,22.326,78.517,7.462,4.716,2.574,2.183,49.902,145.355,0.093,1045.684
2012-08-01,307.417,47.117,418.392,774.872,101.856,22.368,78.554,7.462,4.724,2.574,2.229,50.555,146.098,0.093,1046.873
2012-09-01,307.407,47.126,418.399,774.878,101.856,22.368,78.582,7.462,4.729,2.574,2.309,51.464,147.12,0.095,1047.904
2012-10-01,307.407,47.128,419.581,776.062,101.856,22.368,78.582,7.483,4.741,2.574,2.459,52.306,148.145,0.095,1050.113
2012-11-01,308.229,47.135,420.033,777.343,101.885,22.368,78.609,7.483,4.797,2.586,2.55,53.976,150.001,0.095,1053.279
2012-12-01,309.68,47.167,422.364,781.158,101.885,22.368,78.738,7.508,4.811,2.592,3.17,59.075,155.893,0.142,1063.033
2013-01-01,308.045,44.547,423.104,777.791,102.206,22.389,78.933,7.825,4.901,2.484,3.34,59.146,156.629,0.146,1061.301
2013-02-01,307.974,44.543,422.681,777.293,101.346,22.389,78.944,7.825,4.935,2.484,3.466,59.146,156.8,0.146,1060.114
2013-03-01,307.955,44.474,422.43,776.955,101.455,22.389,79.012,7.825,4.957,2.473,3.565,59.146,156.979,0.146,1060.063
2013-04-01,307.941,44.446,424.141,778.623,101.603,22.389,78.968,7.879,4.96,2.487,3.747,59.146,157.187,0.146,1062.088
2013-05-01,308.15,44.426,425.436,780.107,101.282,22.389,78.967,7.879,4.978,2.519,3.802,59.149,157.294,0.138,1063.35
2013-06-01,308.373,43.865,425.297,779.643,99.132,22.389,78.981,7.872,4.984,2.519,4.043,59.151,157.549,0.138,1060.991
2013-07-01,307.973,43.852,425.085,779.018,99.132,22.389,79.038,7.872,4.989,2.519,4.129,59.152,157.7,0.138,1060.517
2013-08-01,307.968,43.843,426.196,780.114,99.132,22.389,79.046,7.872,4.993,2.519,4.27,59.152,157.853,0.123,1061.751
2013-09-01,307.353,43.705,425.762,778.928,99.132,22.389,79.043,7.9,4.999,2.519,4.359,59.175,157.995,0.142,1060.746
2013-10-01,305.083,43.641,425.684,776.516,99.132,22.389,79.062,7.923,5.001,2.519,5.02,59.258,158.783,0.142,1059.122
2013-11-01,304.055,43.635,425.78,775.578,99.132,22.389,79.191,8.203,5.008,2.55,5.642,59.456,160.051,0.146,1059.456
2013-12-01,303.306,43.523,425.39,774.327,99.24,22.389,79.2,8.354,5.043,2.607,6.623,59.973,161.8,0.146,1060.064
2014-01-01,302.728,41.798,427.545,774.025,99.182,22.458,79.634,8.39,5.083,2.514,6.983,59.942,162.547,0.152,1061.003
2014-02-01,302.578,41.798,426.547,772.877,99.182,22.458,79.645,8.39,5.088,2.514,7.134,60.037,162.809,0.152,1060.117
2014-03-01,302.475,41.791,426.547,772.767,99.182,22.458,79.621,8.42,5.1,2.514,7.388,60.087,163.131,0.156,1060.333
2014-04-01,302.475,41.764,427.694,773.888,99.182,22.458,79.635,8.42,5.113,2.514,7.608,60.087,163.377,0.156,1061.7
2014-05-01,302.362,41.731,428.248,774.295,99.182,22.48,79.638,8.331,5.119,2.514,7.789,60.305,163.696,0.156,1062.472
2014-06-01,301.566,41.308,428.334,773.162,99.182,22.48,79.763,8.331,5.122,2.514,7.984,60.326,164.041,0.156,1061.683
2014-07-01,300.74,41.309,428.958,772.961,99.182,22.48,79.767,8.324,5.129,2.514,8.127,60.706,164.567,0.156,1062.009
2014-08-01,300.733,41.333,430.798,774.818,99.182,22.48,79.658,8.324,5.155,2.514,8.525,61.423,165.598,0.156,1064.87
2014-09-01,300.69,41.33,430.91,774.885,99.182,22.48,79.658,8.324,5.158,2.514,8.632,61.493,165.778,0.156,1065.117
2014-10-01,299.837,41.337,431.618,774.706,99.182,22.48,79.675,8.368,5.154,2.514,8.992,61.629,166.333,0.156,1065.492
2014-11-01,299.649,41.334,431.629,774.527,99.182,22.48,79.675,8.368,5.163,2.514,9.422,61.98,167.123,0.156,1066.103
2014-12-01,299.094,41.135,432.15,774.294,98.569,22.48,79.683,8.368,5.167,2.514,10.323,64.232,170.286,0.156,1068.422
2015-01-01,293.409,38.044,438.487,772.471,98.533,22.497,79.628,9.023,5.093,2.494,10.565,65.21,172.012,0.167,1067.17
2015-02-01,293.402,38.044,438.233,772.209,98.533,22.57,79.634,9.023,5.1,2.524,10.719,65.21,172.208,0.167,1067.178
2015-03-01,292.942,38.048,438.385,771.905,98.533,22.57,79.634,9.023,5.104,2.524,10.78,65.307,172.371,0.199,1067.08
2015-04-01,289.304,37.925,438.583,768.343,98.533,22.57,79.634,9.053,5.095,2.524,10.846,66.333,173.485,0.199,1064.632
2015-05-01,286.212,37.528,439.548,765.817,98.533,22.57,79.637,9.053,5.095,2.524,11.06,66.613,173.982,0.199,1062.604
2015-06-01,284.265,37.089,439.573,763.457,98.672,22.57,79.757,9.053,5.102,2.524,11.331,66.878,174.645,0.199,1061.046
2015-07-01,284.265,37.03,439.446,763.272,98.672,22.57,79.764,9.053,5.131,2.524,11.407,67.181,175.06,0.2,1061.276
2015-08-01,283.657,37.03,440.305,763.522,98.672,22.57,79.661,9.08,5.131,2.524,11.637,68.774,176.807,0.206,1063.28
2015-09-01,282.713,37.016,440.98,763.239,98.672,22.57,79.662,9.027,5.135,2.54,11.742,69.083,177.189,0.225,1063.398
2015-10-01,282.342,36.932,440.107,761.911,98.672,22.57,79.662,9.044,5.135,2.542,11.848,69.968,178.199,0.277,1063.132
2015-11-01,281.254,36.845,440.468,761.098,98.672,22.57,79.664,8.99,5.133,2.542,12.28,70.208,178.816,0.279,1062.937
2015-12-01,279.72,36.83,439.425,758.476,98.672,22.57,79.67,8.969,5.125,2.542,13.663,72.573,182.541,0.292,1064.055
2016-01-01,274.372,35.306,445.299,757.438,98.921,22.684,79.674,8.998,5.084,2.517,14.228,73.061,183.563,0.371,1064.435
2016-02-01,274.372,35.256,444.656,756.744,98.921,22.706,79.735,8.997,5.084,2.517,14.373,73.061,183.767,0.392,1063.987
2016-03-01,273.685,35.159,444.468,755.772,98.921,22.706,79.764,8.989,5.082,2.517,14.58,73.42,184.351,0.399,1063.607
2016-04-01,269.272,35.155,447.183,754.07,98.921,22.706,79.801,8.986,5.105,2.517,15.056,73.582,185.048,0.409,1062.611
2016-05-01,268.558,35.074,447.911,754.003,98.921,22.779,79.803,8.988,5.106,2.517,15.178,73.856,185.447,0.419,1063.036
2016-06-01,268.297,35.079,447.719,753.554,100.043,22.779,79.832,8.988,5.113,2.517,15.393,74.277,186.12,0.439,1064.402
2016-07-01,268.274,35.066,449.968,755.768,100.043,22.779,79.97,8.988,5.115,2.517,16.118,74.718,187.426,0.439,1067.922
2016-08-01,268.119,35.003,449.95,755.528,100.043,22.779,79.867,8.97,5.119,2.517,17.055,74.722,188.249,0.44,1068.519
2016-09-01,267.519,35.003,449.942,754.921,100.043,22.779,79.868,8.97,5.123,2.517,17.822,74.845,189.145,0.442,1068.81
2016-10-01,267.419,34.976,447.715,752.567,99.565,22.779,79.911,8.977,5.127,2.517,18.235,75.477,190.244,0.48,1067.091
2016-11-01,267.409,34.99,448.051,752.906,99.565,22.779,79.911,8.977,5.146,2.517,18.95,76.354,191.855,0.48,1069.041
2016-12-01,266.62,34.382,446.823,750.282,99.565,22.779,79.913,8.936,5.089,2.517,21.951,81.287,199.692,0.559,1074.333
2017-01-01,262.85,33.945,449.285,748.456,99.61,22.753,79.657,8.749,5.102,2.511,22.362,81.713,200.093,0.574,1073.707
2017-02-01,262.641,33.941,449.641,748.599,99.61,22.753,79.657,8.749,5.097,2.511,22.551,81.962,200.527,0.582,1074.292
2017-03-01,262.197,33.914,449.853,748.34,99.61,22.753,79.66,8.789,5.106,2.451,22.936,83.041,201.983,0.612,1075.519
2017-04-01,260.967,33.914,452.101,749.358,99.61,22.753,79.66,8.789,5.128,2.451,23.459,83.193,202.679,0.628,1077.249
2017-05-01,260.967,33.913,452.131,749.388,99.61,22.81,79.66,8.797,5.127,2.451,23.764,83.345,203.144,0.641,1077.814
2017-06-01,259.207,33.419,453.648,748.65,99.61,22.81,79.668,8.803,5.145,2.451,24.001,83.499,203.566,0.643,1077.501
2017-07-01,259.207,33.373,454.599,749.555,99.629,22.81,79.718,8.856,5.148,2.451,24.114,83.981,204.269,0.645,1079.13
2017-08-01,259.207,33.369,454.6,749.552,99.629,22.81,79.762,8.856,5.148,2.451,24.306,83.981,204.504,0.678,1079.394
2017-09-01,259.023,33.371,454.603,749.373,99.629,22.81,79.762,8.856,5.147,2.451,24.521,84.23,204.967,0.679,1079.68
2017-10-01,258.446,33.372,454.799,748.992,99.629,22.81,79.798,8.856,5.147,2.451,24.853,84.483,205.589,0.681,1079.923
2017-11-01,258.295,33.347,454.776,748.794,99.629,22.81,79.797,8.856,5.147,2.451,25.418,85.447,207.117,0.683,1081.256
2017-12-01,256.547,33.307,456.012,748.241,99.629,22.81,79.795,8.831,5.13,2.483,26.967,87.598,210.803,0.665,1084.37
2018-01-01,251.731,34.163,457.261,745.699,99.731,22.785,79.772,8.813,5.109,2.404,27.726,88.563,212.386,0.664,1082.753
2018-02-01,250.523,34.148,456.651,743.865,99.731,22.785,79.784,8.813,5.086,2.404,27.826,88.788,212.7,0.667,1081.237
2018-03-01,249.782,34.141,456.569,743.036,99.731,22.785,79.785,8.781,5.086,2.392,28.35,88.789,213.183,0.681,1080.905
2018-04-01,248.604,34.134,461.313,746.595,99.731,22.785,79.792,8.787,5.086,2.392,28.618,89.089,213.764,0.692,1085.061
2018-05-01,248.604,34.14,463.143,748.43,99.731,22.83,79.753,8.786,5.084,2.392,29.049,89.086,214.15,0.696,1087.331
2018-06-01,245.408,33.922,463.906,745.78,99.731,22.83,79.754,8.776,5.057,2.392,29.21,89.227,214.416,0.742,1084.993
2018-07-01,245.408,33.931,465.227,747.11,99.731,22.83,79.752,8.767,5.05,2.392,29.348,89.388,214.697,0.742,1086.604
2018-08-01,245.408,33.922,466.272,748.145,99.731,22.83,79.752,8.749,5.043,2.392,29.432,89.47,214.836,0.748,1087.785
2018-09-01,245.113,33.918,466.623,748.199,99.278,22.83,79.752,8.749,5.043,2.392,29.747,89.943,215.625,0.749,1088.176
2018-10-01,244.838,33.913,468.086,749.381,99.278,22.83,79.754,8.749,5.041,2.392,29.916,90.28,216.132,0.769,1089.885
2018-11-01,244.427,33.877,468.539,749.386,99.433,22.83,79.876,8.695,5.039,2.392,30.448,90.534,216.984,0.771,1090.899
2018-12-01,242.786,32.218,470.237,747.785,99.433,22.83,79.872,8.695,5.039,2.444,31.878,94.418,222.345,0.852,1094.74
2019-01-01,241.508,31.71,470.386,746.112,99.44,22.721,79.888,8.717,4.895,2.528,32.67,95.285,223.98,0.877,1094.709
2019-02-01,239.253,31.713,470.406,743.88,99.44,22.721,79.884,8.717,4.895,2.528,32.882,95.751,224.655,0.902,1093.177
2019-03-01,238.022,31.69,472.316,744.536,99.44,22.721,79.897,8.566,4.796,2.528,33.113,96.609,225.509,0.931,1094.716
2019-04-01,236.625,31.549,473.079,743.767,99.595,22.721,79.897,8.554,4.785,2.535,33.225,96.611,225.607,0.935,1094.203
2019-05-01,235.815,31.548,475.456,745.333,98.922,22.721,79.878,8.539,4.785,2.535,33.287,96.84,225.863,0.94,1095.358
2019-06-01,235.768,31.547,476.889,746.702,98.922,22.778,79.878,8.498,4.766,2.535,33.57,98.084,227.332,0.963,1098.275
2019-07-01,234.785,31.541,477.06,745.885,98.922,22.778,79.88,8.498,4.77,2.535,33.837,98.36,227.88,0.984,1098.028
2019-08-01,234.785,31.551,477.06,745.896,98.922,22.778,79.776,8.498,4.768,2.535,34.061,98.743,228.381,0.991,1098.588
2019-09-01,233.847,31.468,477.098,744.912,98.119,22.778,79.776,8.409,4.756,2.535,34.314,99.665,229.455,0.999,1097.883
2019-10-01,233.086,31.467,476.456,743.509,98.119,22.778,79.772,8.306,4.754,2.535,34.76,99.663,229.79,1.003,1096.818
2019-11-01,229.164,31.467,476.405,739.535,98.119,22.778,79.772,8.306,4.754,2.555,35.417,100.739,231.543,1.006,1094.601
2019-12-01,228.657,31.401,476.567,739.125,98.119,22.778,79.773,8.375,4.739,2.555,37.468,103.571,236.481,1.015,1099.11
2020-01-01,224.001,28.751,481.182,736.209,98.094,22.918,79.766,8.36,4.701,2.555,38.825,104.585,238.79,1.041,1098.623
2020-02-01,223.975,28.731,482.518,737.499,98.094,22.918,79.766,8.322,4.701,2.555,39.248,104.662,239.253,1.053,1100.387
2020-03-01,223.101,28.499,483.463,737.338,98.094,22.918,79.766,8.322,4.7,2.555,39.483,106.197,241.022,1.077,1102.019
2020-04-01,223.121,28.493,484.602,738.492,97.082,22.918,79.766,8.322,4.7,2.551,40.157,106.477,241.972,1.093,1103.127
2020-05-01,222.401,28.491,486.41,739.577,97.082,22.918,79.77,8.322,4.699,2.551,40.531,107.335,243.207,1.107,1105.462
2020-06-01,221.034,28.492,486.152,737.954,97.082,22.918,79.77,8.308,4.623,2.572,41.614,107.942,244.829,1.111,1105.464
2020-07-01,221.034,28.498,486.244,738.052,97.082,22.918,79.798,8.308,4.619,2.572,42.202,108.153,245.652,1.364,1106.639
2020-08-01,219.894,28.498,486.262,736.93,97.082,22.918,79.793,8.346,4.621,2.572,42.806,108.694,246.832,1.396,1106.728
2020-09-01,218.736,28.489,486.205,735.705,97.082,22.918,79.918,8.346,4.62,2.572,43.42,109.471,248.347,1.396,1107.018
2020-10-01,217.597,28.461,485.843,734.177,97.102,22.998,79.92,8.346,4.63,2.572,43.79,109.794,249.052,1.42,1106.319
2020-11-01,217.184,28.461,486.163,734.084,96.501,22.998,79.92,8.346,4.63,2.572,44.658,111.527,251.652,1.443,1108.248
2020-12-01,215.554,27.57,485.807,731.207,96.501,23.016,79.924,8.327,4.623,2.572,48.054,118.379,261.879,1.508,1115.682
2021-01-01,214.602,28.798,486.284,731.596,96.586,23.008,79.84,8.086,4.517,2.572,48.698,118.996,262.71,1.644,1117.108
2021-02-01,214.602,28.796,486.262,731.573,96.586,23.008,79.84,8.086,4.516,2.572,49.393,119.963,264.371,1.653,1118.755
2021-03-01,214.053,28.797,486.404,731.166,96.586,23.008,79.839,7.943,4.506,2.572,51.01,121.096,266.966,1.782,1121.073
2021-04-01,213.711,28.795,486.74,731.159,95.546,23.008,79.842,7.943,4.506,2.597,51.524,121.865,268.278,1.959,1121.514
2021-05-01,213.152,28.793,486.708,730.566,95.546,23.008,79.873,7.943,4.495,2.597,52.189,123.203,270.3,2.499,1123.484
2021-06-01,212.18,28.268,487.25,729.61,95.546,23.008,79.91,7.943,4.488,2.597,52.915,124.851,272.703,2.783,1125.215
2021-07-01,212.18,28.253,488.29,730.637,95.546,23.008,79.91,7.928,4.485,2.597,53.696,126.119,274.734,3.044,1128.533
2021-08-01,212.18,28.255,488.993,731.316,95.546,23.008,79.907,7.928,4.485,2.597,55.18,126.457,276.553,3.111,1131.099
2021-09-01,212.18,28.248,488.815,731.131,95.546,23.008,79.91,7.933,4.473,2.597,56.22,126.805,277.938,3.305,1132.492
2021-10-01,211.277,28.23,490.188,731.583,95.546,23.008,79.91,7.933,4.483,2.597,56.968,128.224,280.115,3.766,1135.583
2021-11-01,211.265,28.21,490.218,731.581,95.546,23.008,79.91,7.933,4.471,2.597,57.986,129.35,282.246,4.418,1138.364
2021-12-01,209.826,28.206,491.87,731.789,95.546,23.008,79.91,7.923,4.469,2.597,61.55,132.753,289.202,4.747,1145.857
2022-01-01,202.043,31.29,498.4,733.398,95.406,23.013,80.041,7.829,4.461,2.593,62.83,133.711,291.464,4.997,1149.735
2022-02-01,202.014,31.29,498.475,733.443,95.406,23.013,80.041,7.829,4.459,2.593,63.153,133.971,292.046,5.069,1150.435
2022-03-01,200.822,31.249,498.168,731.972,95.406,23.013,80.055,7.829,4.445,2.593,64.147,135.08,294.148,5.316,1151.312
2022-04-01,200.377,31.127,498.234,731.471,95.406,23.013,80.055,7.829,4.437,2.61,64.603,137.384,296.918,6.056,1154.32
2022-05-01,198.852,31.135,500.354,732.074,95.427,23.044,80.057,7.811,4.434,2.61,65.372,137.578,297.863,6.065,1155.929
2022-06-01,195.864,30.967,501.511,730.075,94.659,23.044,80.057,7.806,4.438,2.61,66.599,138.007,299.516,6.595,1155.314
2022-07-01,195.882,30.966,502.573,731.154,94.659,23.044,80.057,7.818,4.378,2.639,67.187,137.999,300.079,6.942,1157.303
2022-08-01,194.857,30.971,502.476,730.037,94.659,23.044,80.057,7.818,4.378,2.661,67.899,138.005,300.818,7.471,1157.453
2022-09-01,192.426,30.879,502.444,727.482,94.659,23.044,80.059,7.818,4.37,2.661,68.682,138.005,301.594,7.958,1156.163
2022-10-01,192.426,30.849,502.414,727.423,94.659,23.044,80.059,7.818,4.367,2.621,69.219,138.025,302.108,8.632,1157.291
2022-11-01,192.271,30.821,502.747,727.572,94.659,23.044,80.063,7.818,4.354,2.649,70.05,139.726,304.658,8.71,1160.068
2022-12-01,189.316,30.775,502.397,724.217,94.659,23.044,80.068,7.805,4.322,2.649,72.866,141.402,309.112,8.98,1161.436
2023-01-01,186.823,29.635,503.642,721.996,94.598,23.058,79.99,7.933,4.26,2.658,74.332,141.534,310.706,9.236,1161.023
2023-02-01,186.812,29.637,504.858,723.203,94.598,23.058,79.99,7.933,4.158,2.658,74.882,142.248,311.868,9.322,1163.479
2023-03-01,186.007,29.628,504.805,722.307,94.598,23.138,79.99,7.933,4.158,2.623,75.428,142.66,312.792,9.622,1163.885
2023-04-01,186.007,29.631,506.375,723.879,94.598,23.147,80.007,7.933,4.158,2.684,76.362,142.976,314.121,9.792,1166.993
2023-05-01,184.515,29.588,505.486,721.456,94.598,23.147,79.978,7.888,4.158,2.684,77.462,143.76,315.931,9.943,1166.532
2023-06-01,182.362,29.441,506.394,720.064,94.598,23.147,79.98,7.874,4.159,2.684,79.082,143.731,317.51,10.847,1167.622
2023-07-01,181.713,29.444,507.199,720.223,95.712,23.147,79.98,7.789,4.159,2.684,80.409,144.23,319.251,12.332,1172.121
2023-08-01,181.1,29.454,507.199,719.619,95.712,23.147,79.98,7.789,4.155,2.672,81.129,144.318,320.043,12.815,1172.793
2023-09-01,180.235,29.456,506.82,718.377,95.712,23.147,79.977,7.756,4.155,2.696,82.086,144.422,321.092,13.52,1173.305
2023-10-01,179.75,29.456,506.815,717.888,95.712,23.147,79.979,7.756,4.149,2.696,83.867,145.235,323.682,13.768,1175.654
2023-11-01,179.75,29.452,507.5,718.568,95.712,23.147,79.979,7.693,4.151,2.696,84.867,145.235,324.622,14.2,1177.705
2023-12-01,178.442,29.441,507.536,717.285,95.712,23.147,79.985,7.693,4.133,2.696,92.008,147.445,333.96,15.995,1187.555
2024-01-01,177.414,29.467,508.551,717.298,95.712,23.147,79.837,7.693,4.124,2.696,94.735,148.303,337.389,15.829,1190.828
2024-02-01,177.414,29.467,508.551,717.298,95.712,23.147,79.837,7.693,4.124,2.696,95.319,148.504,338.174,15.865,1191.649
2024-03-01,177.198,29.469,507.846,716.38,95.712,23.227,79.838,7.693,4.124,2.696,98.249,148.664,341.265,16.908,1194.945
2024-04-01,176.572,29.45,507.802,715.663,96.826,23.227,79.838,7.693,4.096,2.696,99.65,149.793,343.766,17.591,1198.527
2024-05-01,176.076,29.442,507.928,715.285,96.826,23.227,79.838,7.693,4.085,2.696,102.033,150.045,346.391,18.664,1201.846
2024-06-01,175.896,29.343,506.525,713.603,96.826,23.227,79.829,7.693,4.085,2.696,104.672,150.075,349.05,19.905,1204.065
2024-07-01,175.896,29.343,507.329,714.408,96.826,23.227,79.829,7.693,4.039,2.696,105.622,150.776,350.655,20.65,1207.219
2024-08-01,175.896,29.343,507.332,714.41,96.826,23.227,79.835,7.693,4.042,2.696,106.818,150.96,352.043,21.573,1209.533
2024-09-01,175.637,29.343,507.34,714.159,96.826,23.227,79.836,7.693,4.045,2.696,108.962,151.098,354.33,22.438,1212.433
