Month,Wood CO2 Emissions,Biomass Waste CO2 Emissions,"Fuel Ethanol, Excluding Denaturant, CO2 Emissions",Biodiesel CO2 Emissions,Biomass CO2 Emissions,Biomass Residential Sector CO2 Emissions,Biomass Commercial Sector CO2 Emissions,Biomass Industrial Sector CO2 Emissions,Biomass Transportation Sector CO2 Emissions,Biomass Electric Power Sector CO2 Emissions,Biomass CO2 Emissions.1
1976-01-01,13.593,0.008,Not Available,Not Available,13.601,3.826,0.072,9.692,Not Available,0.011,13.601
1976-02-01,12.715,0.008,Not Available,Not Available,12.724,3.58,0.068,9.066,Not Available,0.01,12.724
1976-03-01,13.593,0.008,Not Available,Not Available,13.601,3.826,0.072,9.692,Not Available,0.011,13.601
1976-04-01,13.154,0.008,Not Available,Not Available,13.162,3.703,0.07,9.379,Not Available,0.01,13.162
1976-05-01,13.593,0.008,Not Available,Not Available,13.601,3.826,0.072,9.692,Not Available,0.011,13.601
1976-06-01,13.155,0.01,Not Available,Not Available,13.165,3.703,0.07,9.379,Not Available,0.013,13.165
1976-07-01,13.591,0.012,Not Available,Not Available,13.603,3.826,0.072,9.692,Not Available,0.012,13.603
1976-08-01,13.593,0.012,Not Available,Not Available,13.605,3.826,0.072,9.692,Not Available,0.015,13.605
1976-09-01,13.157,0.01,Not Available,Not Available,13.167,3.703,0.07,9.379,Not Available,0.015,13.167
1976-10-01,13.595,0.011,Not Available,Not Available,13.606,3.826,0.072,9.692,Not Available,0.015,13.606
1976-11-01,13.177,0.01,Not Available,Not Available,13.187,3.703,0.07,9.379,Not Available,0.035,13.187
1976-12-01,13.62,0.01,Not Available,Not Available,13.63,3.826,0.072,9.692,Not Available,0.039,13.63
1977-01-01,14.64,0.009,Not Available,Not Available,14.649,4.316,0.082,10.207,Not Available,0.043,14.649
1977-02-01,13.23,0.008,Not Available,Not Available,13.238,3.898,0.074,9.219,Not Available,0.046,13.238
1977-03-01,14.64,0.009,Not Available,Not Available,14.648,4.316,0.082,10.207,Not Available,0.043,14.648
1977-04-01,14.165,0.009,Not Available,Not Available,14.174,4.177,0.079,9.878,Not Available,0.04,14.174
1977-05-01,14.636,0.009,Not Available,Not Available,14.645,4.316,0.082,10.207,Not Available,0.04,14.645
1977-06-01,14.164,0.009,Not Available,Not Available,14.173,4.177,0.079,9.878,Not Available,0.039,14.173
1977-07-01,14.609,0.011,Not Available,Not Available,14.619,4.316,0.082,10.207,Not Available,0.014,14.619
1977-08-01,14.624,0.01,Not Available,Not Available,14.635,4.316,0.082,10.207,Not Available,0.029,14.635
1977-09-01,14.158,0.01,Not Available,Not Available,14.168,4.177,0.079,9.878,Not Available,0.034,14.168
1977-10-01,14.633,0.011,Not Available,Not Available,14.643,4.316,0.082,10.207,Not Available,0.038,14.643
1977-11-01,14.153,0.007,Not Available,Not Available,14.16,4.177,0.079,9.878,Not Available,0.026,14.16
1977-12-01,14.616,0.007,Not Available,Not Available,14.623,4.316,0.082,10.207,Not Available,0.018,14.623
1978-01-01,16.228,0.007,Not Available,Not Available,16.235,4.954,0.094,11.157,Not Available,0.03,16.235
1978-02-01,14.659,0.007,Not Available,Not Available,14.665,4.475,0.085,10.077,Not Available,0.029,14.665
1978-03-01,16.23,0.007,Not Available,Not Available,16.237,4.954,0.094,11.157,Not Available,0.032,16.237
1978-04-01,15.687,0.006,Not Available,Not Available,15.694,4.794,0.091,10.797,Not Available,0.012,15.694
1978-05-01,16.209,0.007,Not Available,Not Available,16.216,4.954,0.094,11.157,Not Available,0.011,16.216
1978-06-01,15.687,0.006,Not Available,Not Available,15.693,4.794,0.091,10.797,Not Available,0.011,15.693
1978-07-01,16.211,0.005,Not Available,Not Available,16.216,4.954,0.094,11.157,Not Available,0.011,16.216
1978-08-01,16.228,0.011,Not Available,Not Available,16.239,4.954,0.094,11.157,Not Available,0.034,16.239
1978-09-01,15.695,0.008,Not Available,Not Available,15.703,4.794,0.091,10.797,Not Available,0.021,15.703
1978-10-01,16.23,0.009,Not Available,Not Available,16.239,4.954,0.094,11.157,Not Available,0.034,16.239
1978-11-01,15.706,0.007,Not Available,Not Available,15.713,4.794,0.091,10.797,Not Available,0.031,15.713
1978-12-01,16.221,0.008,Not Available,Not Available,16.229,4.954,0.094,11.157,Not Available,0.024,16.229
1979-01-01,17.114,0.009,Not Available,Not Available,17.123,5.8,0.11,11.192,Not Available,0.021,17.123
1979-02-01,15.47,0.01,Not Available,Not Available,15.48,5.239,0.099,10.109,Not Available,0.033,15.48
1979-03-01,17.132,0.015,Not Available,Not Available,17.146,5.8,0.11,11.192,Not Available,0.044,17.146
1979-04-01,16.575,0.008,Not Available,Not Available,16.583,5.613,0.106,10.831,Not Available,0.033,16.583
1979-05-01,17.124,0.013,Not Available,Not Available,17.138,5.8,0.11,11.192,Not Available,0.035,17.138
1979-06-01,16.571,0.01,Not Available,Not Available,16.581,5.613,0.106,10.831,Not Available,0.031,16.581
1979-07-01,17.122,0.01,Not Available,Not Available,17.132,5.8,0.11,11.192,Not Available,0.03,17.132
1979-08-01,17.131,0.01,Not Available,Not Available,17.142,5.8,0.11,11.192,Not Available,0.04,17.142
1979-09-01,16.581,0.008,Not Available,Not Available,16.588,5.613,0.106,10.831,Not Available,0.038,16.588
1979-10-01,17.131,0.007,Not Available,Not Available,17.138,5.8,0.11,11.192,Not Available,0.036,17.138
1979-11-01,16.581,0.011,Not Available,Not Available,16.592,5.613,0.106,10.831,Not Available,0.041,16.592
1979-12-01,17.125,0.012,Not Available,Not Available,17.137,5.8,0.11,11.192,Not Available,0.035,17.137
1980-01-01,19.662,0.013,Not Available,Not Available,19.675,6.753,0.167,12.712,Not Available,0.043,19.675
1980-02-01,18.396,0.012,Not Available,Not Available,18.407,6.317,0.156,11.892,Not Available,0.042,18.407
1980-03-01,19.66,0.008,Not Available,Not Available,19.668,6.753,0.167,12.712,Not Available,0.037,19.668
1980-04-01,19.02,0.008,Not Available,Not Available,19.027,6.535,0.161,12.302,Not Available,0.029,19.027
1980-05-01,19.641,0.009,Not Available,Not Available,19.651,6.753,0.167,12.712,Not Available,0.019,19.651
1980-06-01,19.005,0.007,Not Available,Not Available,19.012,6.535,0.161,12.302,Not Available,0.013,19.012
1980-07-01,19.646,0.006,Not Available,Not Available,19.653,6.753,0.167,12.712,Not Available,0.021,19.653
1980-08-01,19.655,0.008,Not Available,Not Available,19.663,6.753,0.167,12.712,Not Available,0.032,19.663
1980-09-01,19.022,0.007,Not Available,Not Available,19.029,6.535,0.161,12.302,Not Available,0.03,19.029
1980-10-01,19.661,0.007,Not Available,Not Available,19.668,6.753,0.167,12.712,Not Available,0.036,19.668
1980-11-01,19.026,0.007,Not Available,Not Available,19.032,6.535,0.161,12.302,Not Available,0.034,19.032
1980-12-01,19.655,0.008,Not Available,Not Available,19.663,6.753,0.167,12.712,Not Available,0.031,19.663
1981-01-01,19.885,0.454,0.04,Not Available,20.379,6.931,0.168,13.211,0.039,0.031,20.379
1981-02-01,17.965,0.41,0.036,Not Available,18.411,6.26,0.151,11.932,0.035,0.032,18.411
1981-03-01,19.89,0.454,0.04,Not Available,20.383,6.931,0.168,13.211,0.039,0.035,20.383
1981-04-01,19.247,0.439,0.039,Not Available,19.725,6.707,0.162,12.784,0.038,0.033,19.725
1981-05-01,19.875,0.454,0.04,Not Available,20.368,6.931,0.168,13.211,0.039,0.02,20.368
1981-06-01,19.227,0.439,0.039,Not Available,19.704,6.707,0.162,12.784,0.038,0.012,19.704
1981-07-01,19.87,0.454,0.04,Not Available,20.364,6.931,0.168,13.211,0.039,0.016,20.364
1981-08-01,19.871,0.456,0.04,Not Available,20.367,6.931,0.168,13.211,0.039,0.019,20.367
1981-09-01,19.243,0.443,0.039,Not Available,19.724,6.707,0.162,12.784,0.038,0.033,19.724
1981-10-01,19.886,0.456,0.04,Not Available,20.381,6.931,0.168,13.211,0.039,0.033,20.381
1981-11-01,19.245,0.439,0.039,Not Available,19.722,6.707,0.162,12.784,0.038,0.031,19.722
1981-12-01,19.881,0.45,0.04,Not Available,20.371,6.931,0.168,13.211,0.039,0.023,20.371
1982-01-01,19.999,0.615,0.108,Not Available,20.722,7.728,0.176,12.686,0.106,0.026,20.722
1982-02-01,18.066,0.555,0.098,Not Available,18.719,6.98,0.159,11.458,0.096,0.026,18.719
1982-03-01,19.992,0.614,0.108,Not Available,20.714,7.728,0.176,12.686,0.106,0.018,20.714
1982-04-01,19.345,0.593,0.105,Not Available,20.043,7.478,0.17,12.277,0.103,0.014,20.043
1982-05-01,19.989,0.615,0.108,Not Available,20.712,7.728,0.176,12.686,0.106,0.016,20.712
1982-06-01,19.347,0.595,0.105,Not Available,20.046,7.478,0.17,12.277,0.103,0.018,20.046
1982-07-01,19.993,0.616,0.108,Not Available,20.717,7.728,0.176,12.686,0.106,0.021,20.717
1982-08-01,19.994,0.613,0.108,Not Available,20.715,7.728,0.176,12.686,0.106,0.02,20.715
1982-09-01,19.357,0.593,0.105,Not Available,20.055,7.478,0.17,12.277,0.103,0.026,20.055
1982-10-01,20.011,0.615,0.108,Not Available,20.734,7.728,0.176,12.686,0.106,0.038,20.734
1982-11-01,19.355,0.594,0.105,Not Available,20.054,7.478,0.17,12.277,0.103,0.026,20.054
1982-12-01,19.995,0.615,0.108,Not Available,20.718,7.728,0.176,12.686,0.106,0.023,20.718
1983-01-01,21.379,0.807,0.199,Not Available,22.386,7.728,0.177,14.267,0.196,0.019,22.386
1983-02-01,19.311,0.731,0.18,Not Available,20.221,6.98,0.16,12.886,0.177,0.019,20.221
1983-03-01,21.381,0.809,0.199,Not Available,22.389,7.728,0.177,14.267,0.196,0.022,22.389
1983-04-01,20.689,0.782,0.193,Not Available,21.664,7.478,0.171,13.807,0.19,0.018,21.664
1983-05-01,21.377,0.814,0.199,Not Available,22.39,7.728,0.177,14.267,0.196,0.022,22.39
1983-06-01,20.691,0.788,0.193,Not Available,21.671,7.478,0.171,13.807,0.19,0.026,21.671
1983-07-01,21.38,0.812,0.199,Not Available,22.391,7.728,0.177,14.267,0.196,0.024,22.391
1983-08-01,21.384,0.812,0.199,Not Available,22.395,7.728,0.177,14.267,0.196,0.028,22.395
1983-09-01,20.696,0.785,0.193,Not Available,21.674,7.478,0.171,13.807,0.19,0.029,21.674
1983-10-01,21.389,0.811,0.199,Not Available,22.399,7.728,0.177,14.267,0.196,0.032,22.399
1983-11-01,20.703,0.782,0.193,Not Available,21.679,7.478,0.171,13.807,0.19,0.033,21.679
1983-12-01,21.405,0.809,0.199,Not Available,22.413,7.728,0.177,14.267,0.196,0.046,22.413
1984-01-01,21.344,1.056,0.244,Not Available,22.645,7.786,0.177,14.39,0.239,0.053,22.645
1984-02-01,19.949,0.995,0.229,Not Available,21.172,7.284,0.165,13.462,0.224,0.038,21.172
1984-03-01,21.328,1.07,0.244,Not Available,22.642,7.786,0.177,14.39,0.239,0.05,22.642
1984-04-01,20.627,1.035,0.236,Not Available,21.899,7.535,0.171,13.926,0.231,0.035,21.899
1984-05-01,21.315,1.071,0.244,Not Available,22.63,7.786,0.177,14.39,0.239,0.038,22.63
1984-06-01,20.628,1.036,0.236,Not Available,21.901,7.535,0.171,13.926,0.231,0.037,21.901
1984-07-01,21.336,1.071,0.244,Not Available,22.651,7.786,0.177,14.39,0.239,0.059,22.651
1984-08-01,21.338,1.07,0.244,Not Available,22.652,7.786,0.177,14.39,0.239,0.06,22.652
1984-09-01,20.656,1.036,0.236,Not Available,21.928,7.535,0.171,13.926,0.231,0.065,21.928
1984-10-01,21.353,1.081,0.244,Not Available,22.678,7.786,0.177,14.39,0.239,0.086,22.678
1984-11-01,20.688,1.044,0.236,Not Available,21.968,7.535,0.171,13.926,0.231,0.105,21.968
1984-12-01,21.369,1.075,0.244,Not Available,22.688,7.786,0.177,14.39,0.239,0.095,22.688
1985-01-01,21.423,1.216,0.296,Not Available,22.936,8.046,0.193,14.295,0.289,0.112,22.936
1985-02-01,19.35,1.098,0.268,Not Available,20.716,7.268,0.175,12.912,0.261,0.101,20.716
1985-03-01,21.421,1.218,0.296,Not Available,22.936,8.046,0.193,14.295,0.289,0.112,22.936
1985-04-01,20.679,1.184,0.287,Not Available,22.15,7.787,0.187,13.834,0.28,0.062,22.15
1985-05-01,21.373,1.222,0.296,Not Available,22.891,8.046,0.193,14.295,0.289,0.068,22.891
1985-06-01,20.68,1.186,0.287,Not Available,22.153,7.787,0.187,13.834,0.28,0.065,22.153
1985-07-01,21.395,1.225,0.296,Not Available,22.916,8.046,0.193,14.295,0.289,0.092,22.916
1985-08-01,21.412,1.222,0.296,Not Available,22.931,8.046,0.193,14.295,0.289,0.107,22.931
1985-09-01,20.73,1.175,0.287,Not Available,22.192,7.787,0.187,13.834,0.28,0.104,22.192
1985-10-01,21.413,1.214,0.296,Not Available,22.924,8.046,0.193,14.295,0.289,0.1,22.924
1985-11-01,20.726,1.182,0.287,Not Available,22.195,7.787,0.187,13.834,0.28,0.107,22.195
1985-12-01,21.414,1.218,0.296,Not Available,22.928,8.046,0.193,14.295,0.289,0.104,22.928
1986-01-01,20.433,1.352,0.342,Not Available,22.127,7.329,0.218,14.151,0.334,0.095,22.127
1986-02-01,18.435,1.226,0.309,Not Available,19.97,6.62,0.197,12.782,0.302,0.07,19.97
1986-03-01,20.39,1.359,0.342,Not Available,22.091,7.329,0.218,14.151,0.334,0.059,22.091
1986-04-01,19.733,1.313,0.331,Not Available,21.377,7.093,0.211,13.695,0.323,0.056,21.377
1986-05-01,20.394,1.355,0.342,Not Available,22.091,7.329,0.218,14.151,0.334,0.059,22.091
1986-06-01,19.74,1.312,0.331,Not Available,21.382,7.093,0.211,13.695,0.323,0.061,21.382
1986-07-01,20.411,1.356,0.342,Not Available,22.109,7.329,0.218,14.151,0.334,0.077,22.109
1986-08-01,20.426,1.356,0.342,Not Available,22.124,7.329,0.218,14.151,0.334,0.092,22.124
1986-09-01,19.764,1.311,0.331,Not Available,21.405,7.093,0.211,13.695,0.323,0.084,21.405
1986-10-01,20.408,1.355,0.342,Not Available,22.106,7.329,0.218,14.151,0.334,0.074,22.106
1986-11-01,19.759,1.317,0.331,Not Available,21.406,7.093,0.211,13.695,0.323,0.085,21.406
1986-12-01,20.436,1.361,0.342,Not Available,22.138,7.329,0.218,14.151,0.334,0.106,22.138
1987-01-01,19.621,1.491,0.393,Not Available,21.505,6.772,0.234,14.015,0.384,0.1,21.505
1987-02-01,17.721,1.347,0.355,Not Available,19.423,6.116,0.212,12.659,0.347,0.09,19.423
1987-03-01,19.615,1.496,0.393,Not Available,21.504,6.772,0.234,14.015,0.384,0.099,21.504
1987-04-01,18.971,1.446,0.38,Not Available,20.798,6.553,0.227,13.563,0.372,0.083,20.798
1987-05-01,19.603,1.495,0.393,Not Available,21.491,6.772,0.234,14.015,0.384,0.086,21.491
1987-06-01,19.003,1.449,0.38,Not Available,20.833,6.553,0.227,13.563,0.372,0.118,20.833
1987-07-01,19.636,1.495,0.393,Not Available,21.524,6.772,0.234,14.015,0.384,0.118,21.524
1987-08-01,19.638,1.495,0.393,Not Available,21.527,6.772,0.234,14.015,0.384,0.122,21.527
1987-09-01,18.996,1.44,0.38,Not Available,20.816,6.553,0.227,13.563,0.372,0.102,20.816
1987-10-01,19.615,1.49,0.393,Not Available,21.498,6.772,0.234,14.015,0.384,0.093,21.498
1987-11-01,18.991,1.437,0.38,Not Available,20.808,6.553,0.227,13.563,0.372,0.094,20.808
1987-12-01,19.633,1.481,0.393,Not Available,21.507,6.772,0.234,14.015,0.384,0.102,21.507
1988-01-01,20.483,1.608,0.398,Not Available,22.488,7.23,0.257,14.5,0.389,0.112,22.488
1988-02-01,19.158,1.506,0.372,Not Available,21.036,6.763,0.241,13.564,0.364,0.104,21.036
1988-03-01,20.481,1.612,0.398,Not Available,22.491,7.23,0.257,14.5,0.389,0.115,22.491
1988-04-01,19.803,1.577,0.385,Not Available,21.765,6.997,0.249,14.032,0.377,0.111,21.765
1988-05-01,20.432,1.632,0.398,Not Available,22.462,7.23,0.257,14.5,0.389,0.086,22.462
1988-06-01,19.815,1.576,0.385,Not Available,21.775,6.997,0.249,14.032,0.377,0.121,21.775
1988-07-01,20.474,1.629,0.398,Not Available,22.5,7.23,0.257,14.5,0.389,0.125,22.5
1988-08-01,20.487,1.634,0.398,Not Available,22.519,7.23,0.257,14.5,0.389,0.143,22.519
1988-09-01,19.812,1.578,0.385,Not Available,21.775,6.997,0.249,14.032,0.377,0.121,21.775
1988-10-01,20.467,1.629,0.398,Not Available,22.494,7.23,0.257,14.5,0.389,0.118,22.494
1988-11-01,19.81,1.564,0.385,Not Available,21.759,6.997,0.249,14.032,0.377,0.105,21.759
1988-12-01,20.469,1.618,0.398,Not Available,22.484,7.23,0.257,14.5,0.389,0.108,22.484
1989-01-01,21.684,1.504,0.404,Not Available,23.592,7.329,0.689,13.899,0.396,1.28,23.592
1989-02-01,19.817,1.4,0.365,Not Available,21.583,6.62,0.627,12.771,0.357,1.207,21.583
1989-03-01,22.193,1.28,0.404,Not Available,23.878,7.329,0.663,14.317,0.396,1.172,23.878
1989-04-01,20.476,1.419,0.391,Not Available,22.286,7.093,0.661,12.986,0.383,1.163,22.286
1989-05-01,18.827,1.816,0.404,Not Available,21.047,7.329,0.719,11.382,0.396,1.221,21.047
1989-06-01,19.552,1.805,0.391,Not Available,21.748,7.093,0.704,12.224,0.383,1.344,21.748
1989-07-01,20.393,2.021,0.404,Not Available,22.818,7.329,0.746,12.83,0.396,1.517,22.818
1989-08-01,21.957,1.96,0.404,Not Available,24.322,7.329,0.742,14.229,0.396,1.625,24.322
1989-09-01,20.681,2.068,0.391,Not Available,23.14,7.093,0.737,13.29,0.383,1.637,23.14
1989-10-01,21.62,2.146,0.404,Not Available,24.171,7.329,0.763,13.96,0.396,1.723,24.171
1989-11-01,21.725,2.121,0.391,Not Available,24.238,7.093,0.745,14.241,0.383,1.776,24.238
1989-12-01,22.424,1.994,0.404,Not Available,24.822,7.329,0.747,14.656,0.396,1.694,24.822
1990-01-01,18.142,2.027,0.359,Not Available,20.528,4.621,0.663,12.898,0.351,1.995,20.528
1990-02-01,17.515,1.858,0.324,Not Available,19.697,4.173,0.604,12.665,0.317,1.937,19.697
1990-03-01,18.719,2.111,0.359,Not Available,21.189,4.621,0.674,13.429,0.351,2.115,21.189
1990-04-01,17.837,1.998,0.347,Not Available,20.182,4.472,0.646,12.739,0.34,1.985,20.182
1990-05-01,15.646,2.029,0.359,Not Available,18.034,4.621,0.659,10.662,0.351,1.74,18.034
1990-06-01,12.657,2.065,0.347,Not Available,15.069,4.472,0.645,8.109,0.34,1.504,15.069
1990-07-01,16.567,2.016,0.359,Not Available,18.942,4.621,0.66,11.485,0.351,1.825,18.942
1990-08-01,18.896,2.081,0.359,Not Available,21.336,4.621,0.671,13.582,0.351,2.111,21.336
1990-09-01,18.394,2.078,0.347,Not Available,20.82,4.472,0.656,13.251,0.34,2.101,20.82
1990-10-01,17.861,2.132,0.359,Not Available,20.351,4.621,0.674,12.663,0.351,2.042,20.351
1990-11-01,16.662,2.006,0.347,Not Available,19.015,4.472,0.645,11.687,0.34,1.871,19.015
1990-12-01,18.982,2.027,0.359,Not Available,21.368,4.621,0.665,13.65,0.351,2.081,21.368
1991-01-01,20.802,2.175,0.416,Not Available,23.393,4.86,0.683,14.986,0.407,2.456,23.393
1991-02-01,15.157,1.953,0.376,Not Available,17.486,4.389,0.61,10.288,0.368,1.83,17.486
1991-03-01,15.553,2.222,0.416,Not Available,18.191,4.86,0.679,10.301,0.407,1.944,18.191
1991-04-01,13.352,2.216,0.402,Not Available,15.97,4.703,0.66,8.458,0.394,1.755,15.97
1991-05-01,14.661,2.323,0.416,Not Available,17.4,4.86,0.686,9.516,0.407,1.931,17.4
1991-06-01,15.18,2.203,0.402,Not Available,17.785,4.703,0.662,10.09,0.394,1.936,17.785
1991-07-01,15.309,2.121,0.416,Not Available,17.846,4.86,0.669,10.07,0.407,1.84,17.846
1991-08-01,18.937,2.245,0.416,Not Available,21.598,4.86,0.687,13.328,0.407,2.316,21.598
1991-09-01,20.715,2.144,0.402,Not Available,23.262,4.703,0.666,15.03,0.394,2.469,23.262
1991-10-01,19.151,2.026,0.416,Not Available,21.593,4.86,0.667,13.492,0.407,2.167,21.593
1991-11-01,18.206,2.177,0.402,Not Available,20.785,4.703,0.665,12.791,0.394,2.232,20.785
1991-12-01,20.657,2.119,0.416,Not Available,23.191,4.86,0.678,14.849,0.407,2.397,23.191
1992-01-01,21.126,2.42,0.472,Not Available,24.018,5.085,0.748,14.95,0.462,2.772,24.018
1992-02-01,16.8,2.314,0.441,Not Available,19.556,4.757,0.7,11.352,0.432,2.314,19.556
1992-03-01,15.907,2.282,0.472,Not Available,18.66,5.085,0.726,10.285,0.462,2.102,18.66
1992-04-01,15.243,2.077,0.456,Not Available,17.776,4.921,0.69,9.803,0.447,1.915,17.776
1992-05-01,12.805,2.423,0.472,Not Available,15.699,5.085,0.735,7.538,0.462,1.879,15.699
1992-06-01,16.784,2.331,0.456,Not Available,19.572,4.921,0.717,11.206,0.447,2.281,19.572
1992-07-01,18.405,2.418,0.472,Not Available,21.294,5.085,0.743,12.526,0.462,2.478,21.294
1992-08-01,20.284,2.388,0.472,Not Available,23.143,5.085,0.743,14.197,0.462,2.656,23.143
1992-09-01,18.713,2.329,0.456,Not Available,21.499,4.921,0.72,12.924,0.447,2.487,21.499
1992-10-01,20.547,2.218,0.472,Not Available,23.237,5.085,0.727,14.411,0.462,2.551,23.237
1992-11-01,20.692,1.852,0.456,Not Available,23.0,4.921,0.676,14.631,0.447,2.324,23.0
1992-12-01,19.697,2.416,0.472,Not Available,22.585,5.085,0.745,13.677,0.462,2.615,22.585
1993-01-01,19.972,2.707,0.514,Not Available,23.193,4.382,0.804,14.513,0.506,2.987,23.193
1993-02-01,17.897,2.181,0.512,Not Available,20.59,3.958,0.701,12.949,0.504,2.479,20.59
1993-03-01,18.991,2.665,0.587,Not Available,22.243,4.382,0.799,13.641,0.578,2.844,22.243
1993-04-01,16.551,2.102,0.494,Not Available,19.147,4.24,0.724,11.518,0.487,2.177,19.147
1993-05-01,13.231,2.351,0.488,Not Available,16.07,4.382,0.76,8.499,0.481,1.948,16.07
1993-06-01,13.402,2.355,0.506,Not Available,16.263,4.24,0.744,8.765,0.499,2.015,16.263
1993-07-01,14.921,2.308,0.521,Not Available,17.751,4.382,0.758,9.99,0.514,2.107,17.751
1993-08-01,20.19,2.031,0.41,Not Available,22.631,4.382,0.739,14.616,0.404,2.491,22.631
1993-09-01,18.525,2.313,0.545,Not Available,21.383,4.24,0.747,13.294,0.538,2.564,21.383
1993-10-01,19.044,2.316,0.568,Not Available,21.928,4.382,0.765,13.641,0.559,2.581,21.928
1993-11-01,19.66,2.184,0.689,Not Available,22.533,4.24,0.737,14.284,0.679,2.593,22.533
1993-12-01,19.582,2.312,0.671,Not Available,22.564,4.382,0.765,14.118,0.661,2.639,22.564
1994-01-01,23.722,2.126,0.706,Not Available,26.554,4.143,0.708,18.157,0.695,2.851,26.554
1994-02-01,18.203,2.129,0.554,Not Available,20.887,3.742,0.657,13.553,0.546,2.389,20.887
1994-03-01,19.004,2.461,0.63,Not Available,22.095,4.143,0.736,13.993,0.621,2.602,22.095
1994-04-01,17.181,2.26,0.56,Not Available,20.001,4.009,0.7,12.45,0.552,2.291,20.001
1994-05-01,13.249,2.635,0.573,Not Available,16.457,4.143,0.749,8.888,0.565,2.113,16.457
