Month,Hydroelectric Power Consumed by the Industrial Sector,Geothermal Energy Consumed by the Industrial Sector,Solar Energy Consumed by the Industrial Sector,Wind Energy Consumed by the Industrial Sector,Wood Energy Consumed by the Industrial Sector,Waste Energy Consumed by the Industrial Sector,"Fuel Ethanol, Excluding Denaturant, Consumed by the Industrial Sector",Biomass Losses and Co-products in the Industrial Sector,Biomass Energy Consumed by the Industrial Sector,Total Renewable Energy Consumed by the Industrial Sector
1981-01-01,0.995,Not Available,Not Available,Not Available,136.06,7.365,0.007,0.498,143.93,144.925
1981-02-01,0.841,Not Available,Not Available,Not Available,122.893,6.652,0.007,0.45,130.002,130.843
1981-03-01,0.957,Not Available,Not Available,Not Available,136.06,7.365,0.007,0.498,143.93,144.888
1981-04-01,1.013,Not Available,Not Available,Not Available,131.671,7.128,0.007,0.482,139.288,140.3
1981-05-01,1.135,Not Available,Not Available,Not Available,136.06,7.365,0.007,0.498,143.93,145.066
1981-06-01,1.088,Not Available,Not Available,Not Available,131.671,7.128,0.007,0.482,139.288,140.375
1981-07-01,0.96,Not Available,Not Available,Not Available,136.06,7.365,0.007,0.498,143.93,144.891
1981-08-01,0.805,Not Available,Not Available,Not Available,136.06,7.365,0.007,0.498,143.93,144.736
1981-09-01,0.727,Not Available,Not Available,Not Available,131.671,7.128,0.007,0.482,139.288,140.015
1981-10-01,0.703,Not Available,Not Available,Not Available,136.06,7.365,0.007,0.498,143.93,144.633
1981-11-01,0.756,Not Available,Not Available,Not Available,131.671,7.128,0.007,0.482,139.288,140.043
1981-12-01,0.805,Not Available,Not Available,Not Available,136.06,7.365,0.007,0.498,143.93,144.735
1982-01-01,0.995,Not Available,Not Available,Not Available,128.756,9.996,0.017,1.341,140.11,141.105
1982-02-01,0.841,Not Available,Not Available,Not Available,116.296,9.029,0.016,1.211,126.551,127.392
1982-03-01,0.957,Not Available,Not Available,Not Available,128.756,9.996,0.017,1.341,140.11,141.067
1982-04-01,1.013,Not Available,Not Available,Not Available,124.603,9.673,0.017,1.297,135.59,136.603
1982-05-01,1.135,Not Available,Not Available,Not Available,128.756,9.996,0.017,1.341,140.11,141.245
1982-06-01,1.088,Not Available,Not Available,Not Available,124.603,9.673,0.017,1.297,135.59,136.678
1982-07-01,0.96,Not Available,Not Available,Not Available,128.756,9.996,0.017,1.341,140.11,141.07
1982-08-01,0.805,Not Available,Not Available,Not Available,128.756,9.996,0.017,1.341,140.11,140.915
1982-09-01,0.727,Not Available,Not Available,Not Available,124.603,9.673,0.017,1.297,135.59,136.318
1982-10-01,0.703,Not Available,Not Available,Not Available,128.756,9.996,0.017,1.341,140.11,140.813
1982-11-01,0.756,Not Available,Not Available,Not Available,124.603,9.673,0.017,1.297,135.59,136.346
1982-12-01,0.805,Not Available,Not Available,Not Available,128.756,9.996,0.017,1.341,140.11,140.915
1983-01-01,0.995,Not Available,Not Available,Not Available,143.534,13.189,0.026,2.45,159.199,160.194
1983-02-01,0.841,Not Available,Not Available,Not Available,129.644,11.913,0.023,2.213,143.792,144.633
1983-03-01,0.957,Not Available,Not Available,Not Available,143.534,13.189,0.026,2.45,159.199,160.156
1983-04-01,1.013,Not Available,Not Available,Not Available,138.904,12.763,0.025,2.371,154.063,155.076
1983-05-01,1.135,Not Available,Not Available,Not Available,143.534,13.189,0.026,2.45,159.199,160.334
1983-06-01,1.088,Not Available,Not Available,Not Available,138.904,12.763,0.025,2.371,154.063,155.151
1983-07-01,0.96,Not Available,Not Available,Not Available,143.534,13.189,0.026,2.45,159.199,160.159
1983-08-01,0.805,Not Available,Not Available,Not Available,143.534,13.189,0.026,2.45,159.199,160.004
1983-09-01,0.727,Not Available,Not Available,Not Available,138.904,12.763,0.025,2.371,154.063,154.79
1983-10-01,0.703,Not Available,Not Available,Not Available,143.534,13.189,0.026,2.45,159.199,159.901
1983-11-01,0.756,Not Available,Not Available,Not Available,138.904,12.763,0.025,2.371,154.063,154.819
1983-12-01,0.805,Not Available,Not Available,Not Available,143.534,13.189,0.026,2.45,159.199,160.004
1984-01-01,0.995,Not Available,Not Available,Not Available,142.21,17.242,0.044,2.978,162.475,163.47
1984-02-01,0.841,Not Available,Not Available,Not Available,133.036,16.13,0.041,2.786,151.993,152.834
1984-03-01,0.957,Not Available,Not Available,Not Available,142.21,17.242,0.044,2.978,162.475,163.432
1984-04-01,1.013,Not Available,Not Available,Not Available,137.623,16.686,0.043,2.882,157.234,158.247
1984-05-01,1.135,Not Available,Not Available,Not Available,142.21,17.242,0.044,2.978,162.475,163.61
1984-06-01,1.088,Not Available,Not Available,Not Available,137.623,16.686,0.043,2.882,157.234,158.322
1984-07-01,0.96,Not Available,Not Available,Not Available,142.21,17.242,0.044,2.978,162.475,163.436
1984-08-01,0.805,Not Available,Not Available,Not Available,142.21,17.242,0.044,2.978,162.475,163.28
1984-09-01,0.727,Not Available,Not Available,Not Available,137.623,16.686,0.043,2.882,157.234,157.961
1984-10-01,0.703,Not Available,Not Available,Not Available,142.21,17.242,0.044,2.978,162.475,163.178
1984-11-01,0.756,Not Available,Not Available,Not Available,137.623,16.686,0.043,2.882,157.234,157.99
1984-12-01,0.805,Not Available,Not Available,Not Available,142.21,17.242,0.044,2.978,162.475,163.28
1985-01-01,0.995,Not Available,Not Available,Not Available,139.712,19.503,0.072,3.583,162.871,163.866
1985-02-01,0.841,Not Available,Not Available,Not Available,126.192,17.616,0.065,3.237,147.109,147.95
1985-03-01,0.957,Not Available,Not Available,Not Available,139.712,19.503,0.072,3.583,162.871,163.828
1985-04-01,1.013,Not Available,Not Available,Not Available,135.205,18.874,0.07,3.468,157.617,158.63
1985-05-01,1.135,Not Available,Not Available,Not Available,139.712,19.503,0.072,3.583,162.871,164.006
1985-06-01,1.088,Not Available,Not Available,Not Available,135.205,18.874,0.07,3.468,157.617,158.705
1985-07-01,0.96,Not Available,Not Available,Not Available,139.712,19.503,0.072,3.583,162.871,163.831
1985-08-01,0.805,Not Available,Not Available,Not Available,139.712,19.503,0.072,3.583,162.871,163.676
1985-09-01,0.727,Not Available,Not Available,Not Available,135.205,18.874,0.07,3.468,157.617,158.344
1985-10-01,0.703,Not Available,Not Available,Not Available,139.712,19.503,0.072,3.583,162.871,163.574
1985-11-01,0.756,Not Available,Not Available,Not Available,135.205,18.874,0.07,3.468,157.617,158.373
1985-12-01,0.805,Not Available,Not Available,Not Available,139.712,19.503,0.072,3.583,162.871,163.676
1986-01-01,0.995,Not Available,Not Available,Not Available,136.74,21.717,0.076,4.102,162.635,163.631
1986-02-01,0.841,Not Available,Not Available,Not Available,123.507,19.616,0.069,3.705,146.897,147.737
1986-03-01,0.957,Not Available,Not Available,Not Available,136.74,21.717,0.076,4.102,162.635,163.593
1986-04-01,1.013,Not Available,Not Available,Not Available,132.329,21.017,0.074,3.97,157.389,158.402
1986-05-01,1.135,Not Available,Not Available,Not Available,136.74,21.717,0.076,4.102,162.635,163.771
1986-06-01,1.088,Not Available,Not Available,Not Available,132.329,21.017,0.074,3.97,157.389,158.477
1986-07-01,0.96,Not Available,Not Available,Not Available,136.74,21.717,0.076,4.102,162.635,163.596
1986-08-01,0.805,Not Available,Not Available,Not Available,136.74,21.717,0.076,4.102,162.635,163.441
1986-09-01,0.727,Not Available,Not Available,Not Available,132.329,21.017,0.074,3.97,157.389,158.116
1986-10-01,0.703,Not Available,Not Available,Not Available,136.74,21.717,0.076,4.102,162.635,163.338
1986-11-01,0.756,Not Available,Not Available,Not Available,132.329,21.017,0.074,3.97,157.389,158.145
1986-12-01,0.805,Not Available,Not Available,Not Available,136.74,21.717,0.076,4.102,162.635,163.44
1987-01-01,0.995,Not Available,Not Available,Not Available,133.852,23.931,0.085,4.68,162.549,163.544
1987-02-01,0.841,Not Available,Not Available,Not Available,120.899,21.615,0.077,4.227,146.818,147.659
1987-03-01,0.957,Not Available,Not Available,Not Available,133.852,23.931,0.085,4.68,162.549,163.506
1987-04-01,1.013,Not Available,Not Available,Not Available,129.534,23.159,0.083,4.529,157.305,158.318
1987-05-01,1.135,Not Available,Not Available,Not Available,133.852,23.931,0.085,4.68,162.549,163.684
1987-06-01,1.088,Not Available,Not Available,Not Available,129.534,23.159,0.083,4.529,157.305,158.393
1987-07-01,0.96,Not Available,Not Available,Not Available,133.852,23.931,0.085,4.68,162.549,163.509
1987-08-01,0.805,Not Available,Not Available,Not Available,133.852,23.931,0.085,4.68,162.549,163.354
1987-09-01,0.727,Not Available,Not Available,Not Available,129.534,23.159,0.083,4.529,157.305,158.033
1987-10-01,0.703,Not Available,Not Available,Not Available,133.852,23.931,0.085,4.68,162.549,163.252
1987-11-01,0.756,Not Available,Not Available,Not Available,129.534,23.159,0.083,4.529,157.305,158.061
1987-12-01,0.805,Not Available,Not Available,Not Available,133.852,23.931,0.085,4.68,162.549,163.354
1988-01-01,0.995,Not Available,Not Available,Not Available,137.637,26.063,0.079,4.697,168.476,169.471
1988-02-01,0.841,Not Available,Not Available,Not Available,128.757,24.381,0.074,4.394,157.606,158.447
1988-03-01,0.957,Not Available,Not Available,Not Available,137.637,26.063,0.079,4.697,168.476,169.433
1988-04-01,1.013,Not Available,Not Available,Not Available,133.197,25.222,0.077,4.546,163.041,164.054
1988-05-01,1.135,Not Available,Not Available,Not Available,137.637,26.063,0.079,4.697,168.476,169.611
1988-06-01,1.088,Not Available,Not Available,Not Available,133.197,25.222,0.077,4.546,163.041,164.129
1988-07-01,0.96,Not Available,Not Available,Not Available,137.637,26.063,0.079,4.697,168.476,169.436
1988-08-01,0.805,Not Available,Not Available,Not Available,137.637,26.063,0.079,4.697,168.476,169.281
1988-09-01,0.727,Not Available,Not Available,Not Available,133.197,25.222,0.077,4.546,163.041,163.769
1988-10-01,0.703,Not Available,Not Available,Not Available,137.637,26.063,0.079,4.697,168.476,169.179
1988-11-01,0.756,Not Available,Not Available,Not Available,133.197,25.222,0.077,4.546,163.041,163.797
1988-12-01,0.805,Not Available,Not Available,Not Available,137.637,26.063,0.079,4.697,168.476,169.281
1989-01-01,0.733,0.153,0.001,No Data Reported,137.726,16.04,0.084,4.739,158.589,159.475
1989-02-01,0.652,0.138,0.001,No Data Reported,126.626,14.613,0.076,4.28,145.594,146.386
1989-03-01,0.793,0.153,0.001,No Data Reported,142.619,15.364,0.084,4.739,162.805,163.752
1989-04-01,0.844,0.148,0.001,No Data Reported,128.396,15.412,0.081,4.586,148.475,149.467
1989-05-01,0.983,0.153,0.001,No Data Reported,110.276,16.98,0.084,4.739,132.079,133.216
1989-06-01,0.907,0.148,0.001,No Data Reported,119.518,16.578,0.081,4.586,140.763,141.819
1989-07-01,0.794,0.153,0.001,No Data Reported,125.32,17.602,0.084,4.739,147.745,148.693
1989-08-01,0.707,0.153,0.001,No Data Reported,140.355,17.416,0.084,4.739,162.594,163.455
1989-09-01,0.663,0.148,0.001,No Data Reported,130.369,17.371,0.081,4.586,152.407,153.219
1989-10-01,0.703,0.153,0.001,No Data Reported,137.115,17.98,0.084,4.739,159.917,160.774
1989-11-01,0.742,0.148,0.001,No Data Reported,140.402,17.532,0.081,4.586,162.601,163.492
1989-12-01,0.765,0.153,0.001,No Data Reported,144.842,17.518,0.084,4.739,167.182,168.1
1990-01-01,0.844,0.161,0.001,No Data Reported,127.112,16.208,0.07,4.172,147.562,148.568
1990-02-01,0.875,0.146,0.001,No Data Reported,125.588,14.711,0.063,3.769,144.131,145.152
1990-03-01,1.004,0.161,0.001,No Data Reported,132.626,16.431,0.07,4.172,153.3,154.466
1990-04-01,0.92,0.156,0.001,No Data Reported,125.688,15.78,0.068,4.038,145.574,146.651
1990-05-01,0.973,0.161,0.001,No Data Reported,103.273,16.211,0.07,4.172,123.727,124.862
1990-06-01,1.0,0.156,0.001,No Data Reported,76.215,15.959,0.068,4.038,96.28,97.438
1990-07-01,0.858,0.161,0.001,No Data Reported,112.067,16.178,0.07,4.172,132.487,133.508
1990-08-01,0.768,0.161,0.001,No Data Reported,134.31,16.352,0.07,4.172,154.905,155.835
1990-09-01,0.624,0.156,0.001,No Data Reported,131.01,15.996,0.068,4.038,151.112,151.893
1990-10-01,0.677,0.161,0.001,No Data Reported,124.427,16.486,0.07,4.172,145.155,145.995
1990-11-01,0.73,0.156,0.001,No Data Reported,114.462,15.803,0.068,4.038,134.371,135.258
1990-12-01,0.878,0.161,0.001,No Data Reported,135.132,16.208,0.07,4.172,155.582,156.623
1991-01-01,0.903,0.178,0.001,No Data Reported,149.887,15.626,0.085,4.795,170.393,171.475
1991-02-01,0.774,0.161,0.001,No Data Reported,100.769,14.09,0.077,4.331,119.267,120.203
1991-03-01,0.909,0.178,0.001,No Data Reported,99.871,15.728,0.085,4.795,120.48,121.568
1991-04-01,0.904,0.173,0.001,No Data Reported,80.455,15.363,0.082,4.641,100.541,101.619
1991-05-01,0.997,0.178,0.001,No Data Reported,91.365,15.948,0.085,4.795,112.193,113.37
1991-06-01,0.904,0.173,0.001,No Data Reported,97.872,15.335,0.082,4.641,117.93,119.008
1991-07-01,0.856,0.178,0.001,No Data Reported,97.542,15.51,0.085,4.795,117.932,118.968
1991-08-01,0.764,0.178,0.001,No Data Reported,132.112,15.778,0.085,4.795,152.771,153.714
1991-09-01,0.649,0.173,0.001,No Data Reported,150.615,15.208,0.082,4.641,170.546,171.369
1991-10-01,0.622,0.178,0.001,No Data Reported,134.153,15.304,0.085,4.795,154.338,155.139
1991-11-01,0.65,0.173,0.001,No Data Reported,126.706,15.279,0.082,4.641,146.708,147.532
1991-12-01,0.771,0.178,0.001,No Data Reported,148.5,15.505,0.085,4.795,168.885,169.836
1992-01-01,0.907,0.186,0.001,No Data Reported,149.843,15.307,0.096,5.392,170.638,171.732
1992-02-01,0.754,0.174,0.001,No Data Reported,112.038,14.42,0.09,5.045,131.592,132.521
1992-03-01,0.914,0.186,0.001,No Data Reported,100.277,15.031,0.096,5.392,120.796,121.898
1992-04-01,0.818,0.18,0.001,No Data Reported,95.606,14.285,0.093,5.218,115.202,116.202
1992-05-01,0.932,0.186,0.001,No Data Reported,70.815,15.313,0.096,5.392,91.616,92.736
1992-06-01,0.942,0.18,0.001,No Data Reported,110.249,14.791,0.093,5.218,130.351,131.475
1992-07-01,0.824,0.186,0.002,No Data Reported,124.004,15.302,0.096,5.392,144.794,145.805
1992-08-01,0.763,0.186,0.002,No Data Reported,141.848,15.242,0.096,5.392,162.578,163.529
1992-09-01,0.705,0.18,0.001,No Data Reported,128.566,14.787,0.093,5.218,148.665,149.551
1992-10-01,0.693,0.186,0.001,No Data Reported,144.347,14.904,0.096,5.392,164.739,165.62
1992-11-01,0.815,0.18,0.001,No Data Reported,147.356,13.836,0.093,5.218,166.503,167.5
1992-12-01,0.997,0.186,0.001,No Data Reported,136.275,15.298,0.096,5.392,157.061,158.246
1993-01-01,0.91,0.204,0.001,No Data Reported,144.648,16.173,0.094,6.426,167.341,168.455
1993-02-01,0.734,0.184,0.001,No Data Reported,129.31,14.004,0.094,5.502,148.91,149.829
1993-03-01,0.858,0.204,0.001,No Data Reported,135.397,16.076,0.107,6.482,158.063,159.126
1993-04-01,0.931,0.197,0.001,No Data Reported,113.78,14.466,0.09,6.21,134.546,135.676
1993-05-01,1.072,0.204,0.002,No Data Reported,81.041,15.358,0.089,6.318,102.806,104.083
1993-06-01,0.974,0.197,0.002,No Data Reported,84.069,15.045,0.093,6.116,105.323,106.496
1993-07-01,0.863,0.204,0.002,No Data Reported,96.992,15.259,0.095,6.065,118.411,119.48
1993-08-01,0.733,0.204,0.002,No Data Reported,146.712,14.626,0.075,5.284,166.697,167.635
1993-09-01,0.637,0.197,0.002,No Data Reported,132.406,14.95,0.1,5.774,153.229,154.065
1993-10-01,0.635,0.204,0.001,No Data Reported,135.896,15.277,0.104,6.321,157.598,158.439
1993-11-01,0.662,0.197,0.001,No Data Reported,143.12,14.655,0.126,6.539,164.439,165.3
1993-12-01,0.785,0.204,0.001,No Data Reported,140.975,15.268,0.123,6.98,163.346,164.335
1994-01-01,1.686,0.238,0.001,No Data Reported,183.628,16.165,0.137,7.221,207.151,209.076
1994-02-01,1.616,0.215,0.001,No Data Reported,135.257,15.022,0.107,5.774,156.16,157.992
1994-03-01,1.866,0.238,0.001,No Data Reported,138.832,16.842,0.122,6.871,162.667,164.772
1994-04-01,1.953,0.23,0.002,No Data Reported,122.871,16.053,0.109,5.792,144.825,147.009
1994-05-01,2.047,0.238,0.002,No Data Reported,84.199,17.193,0.111,6.577,108.081,110.368
1994-06-01,1.978,0.23,0.002,No Data Reported,99.153,16.676,0.099,6.204,122.131,124.341
1994-07-01,1.847,0.238,0.002,No Data Reported,151.06,16.89,0.105,6.366,174.421,176.508
1994-08-01,1.605,0.238,0.002,No Data Reported,130.618,16.836,0.117,6.607,154.177,156.022
1994-09-01,1.311,0.23,0.002,No Data Reported,120.876,16.136,0.093,7.728,144.834,146.376
1994-10-01,1.385,0.238,0.002,No Data Reported,144.969,17.179,0.141,7.01,169.299,170.923
1994-11-01,1.514,0.23,0.001,No Data Reported,136.716,16.678,0.128,7.723,161.245,162.991
1994-12-01,1.76,0.238,0.001,No Data Reported,131.592,17.577,0.142,8.081,157.392,159.391
1995-01-01,1.448,0.255,0.001,No Data Reported,122.494,16.382,0.127,7.992,146.994,148.698
