Month,"Average Price of Electricity to Ultimate Customers, Residential","Average Price of Electricity to Ultimate Customers, Commercial"
2000-01-01,7.66,6.93
2000-02-01,7.71,6.96
2000-03-01,8.09,7.03
2000-04-01,8.15,7.05
2000-05-01,8.34,7.25
2000-06-01,8.56,7.7
2000-07-01,8.61,7.76
2000-08-01,8.63,7.93
2000-09-01,8.51,7.73
2000-10-01,8.49,7.67
2000-11-01,8.15,7.34
2000-12-01,7.82,7.52
2001-01-01,7.73,7.25
2001-02-01,8.04,7.51
2001-03-01,8.32,7.7
2001-04-01,8.46,7.73
2001-05-01,8.83,7.77
2001-06-01,9.07,8.13
2001-07-01,9.03,8.41
2001-08-01,9.01,8.35
2001-09-01,8.92,8.22
2001-10-01,8.84,8.27
2001-11-01,8.48,7.73
2001-12-01,8.29,7.66
2002-01-01,8.07,7.49
2002-02-01,8.19,7.68
2002-03-01,8.17,7.72
2002-04-01,8.37,7.68
2002-05-01,8.64,7.84
2002-06-01,8.73,8.18
2002-07-01,8.82,8.33
2002-08-01,8.72,8.24
2002-09-01,8.59,8.0
2002-10-01,8.47,8.0
2002-11-01,8.31,7.64
2002-12-01,8.08,7.59
2003-01-01,8.0,7.45
2003-02-01,8.02,7.65
2003-03-01,8.35,7.78
2003-04-01,8.82,7.93
2003-05-01,8.99,8.06
2003-06-01,9.25,8.44
2003-07-01,9.21,8.55
2003-08-01,9.22,8.46
2003-09-01,8.92,8.15
2003-10-01,8.85,8.09
2003-11-01,8.72,7.85
2003-12-01,8.3,7.7
2004-01-01,8.24,7.7
2004-02-01,8.33,7.85
2004-03-01,8.62,7.92
2004-04-01,8.93,7.89
2004-05-01,9.07,7.99
2004-06-01,9.29,8.49
2004-07-01,9.36,8.63
2004-08-01,9.5,8.7
2004-09-01,9.39,8.54
2004-10-01,9.05,8.23
2004-11-01,8.96,8.04
2004-12-01,8.58,7.82
2005-01-01,8.52,7.99
2005-02-01,8.76,8.19
2005-03-01,8.87,8.15
2005-04-01,9.22,8.25
2005-05-01,9.56,8.41
2005-06-01,9.79,8.89
2005-07-01,9.77,9.0
2005-08-01,9.93,9.1
2005-09-01,9.94,9.18
2005-10-01,9.76,8.91
2005-11-01,9.76,8.79
2005-12-01,9.27,8.79
2006-01-01,9.55,8.87
2006-02-01,9.8,9.14
2006-03-01,9.87,9.06
2006-04-01,10.32,9.17
2006-05-01,10.61,9.22
2006-06-01,10.85,9.88
2006-07-01,10.96,9.97
2006-08-01,10.94,10.04
2006-09-01,10.94,9.89
2006-10-01,10.58,9.51
2006-11-01,10.18,9.24
2006-12-01,9.84,9.08
2007-01-01,10.06,9.12
2007-02-01,9.89,9.34
2007-03-01,10.27,9.35
2007-04-01,10.63,9.38
2007-05-01,10.77,9.51
2007-06-01,11.09,9.95
2007-07-01,11.07,10.14
2007-08-01,11.07,10.07
2007-09-01,10.96,9.9
2007-10-01,10.82,9.77
2007-11-01,10.7,9.5
2007-12-01,10.33,9.42
2008-01-01,10.14,9.39
2008-02-01,10.16,9.46
2008-03-01,10.45,9.62
2008-04-01,10.93,9.79
2008-05-01,11.4,10.05
2008-06-01,11.77,10.87
2008-07-01,12.07,11.1
2008-08-01,12.09,11.07
2008-09-01,11.92,10.77
2008-10-01,11.81,10.41
2008-11-01,11.42,10.16
2008-12-01,10.86,9.92
2009-01-01,10.98,9.96
2009-02-01,11.18,10.2
2009-03-01,11.28,9.96
2009-04-01,11.5,9.87
2009-05-01,11.78,10.11
2009-06-01,11.81,10.46
2009-07-01,11.85,10.56
2009-08-01,11.94,10.52
2009-09-01,11.96,10.45
2009-10-01,11.65,10.13
2009-11-01,11.26,9.78
2009-12-01,10.9,9.7
2010-01-01,10.49,9.55
2010-02-01,10.89,9.89
2010-03-01,11.11,9.95
2010-04-01,11.71,9.95
2010-05-01,11.91,10.15
2010-06-01,11.91,10.56
2010-07-01,12.04,10.72
2010-08-01,12.03,10.62
2010-09-01,11.95,10.52
2010-10-01,11.86,10.25
2010-11-01,11.62,9.99
2010-12-01,11.06,9.82
2011-01-01,10.87,9.78
2011-02-01,11.06,9.99
2011-03-01,11.52,9.93
2011-04-01,11.67,9.96
2011-05-01,11.93,10.19
2011-06-01,11.97,10.66
2011-07-01,12.09,10.67
2011-08-01,12.09,10.72
2011-09-01,12.17,10.59
2011-10-01,12.08,10.25
2011-11-01,11.78,9.98
2011-12-01,11.4,9.77
2012-01-01,11.41,9.84
2012-02-01,11.51,9.94
2012-03-01,11.7,9.84
2012-04-01,11.92,9.82
2012-05-01,11.9,9.96
2012-06-01,12.09,10.39
2012-07-01,12.0,10.39
2012-08-01,12.17,10.39
2012-09-01,12.3,10.5
2012-10-01,12.03,10.08
2012-11-01,11.75,9.89
2012-12-01,11.62,9.81
2013-01-01,11.46,9.77
2013-02-01,11.63,10.06
2013-03-01,11.61,10.02
2013-04-01,11.93,9.96
2013-05-01,12.4,10.22
2013-06-01,12.54,10.65
2013-07-01,12.65,10.7
2013-08-01,12.53,10.69
2013-09-01,12.51,10.53
2013-10-01,12.36,10.28
2013-11-01,12.1,10.03
2013-12-01,11.72,9.96
2014-01-01,11.65,10.35
2014-02-01,11.94,10.68
2014-03-01,12.25,10.65
2014-04-01,12.31,10.46
2014-05-01,12.85,10.54
2014-06-01,12.99,10.96
2014-07-01,13.09,11.17
2014-08-01,13.04,11.05
2014-09-01,12.95,11.16
2014-10-01,12.6,10.83
2014-11-01,12.48,10.52
2014-12-01,12.17,10.36
2015-01-01,12.1,10.31
2015-02-01,12.29,10.62
2015-03-01,12.33,10.63
2015-04-01,12.62,10.37
2015-05-01,12.93,10.47
2015-06-01,12.92,10.89
2015-07-01,12.94,11.07
2015-08-01,12.91,10.94
2015-09-01,13.03,10.98
2015-10-01,12.72,10.73
2015-11-01,12.71,10.3
2015-12-01,12.32,10.13
2016-01-01,11.99,10.08
2016-02-01,12.14,10.25
2016-03-01,12.56,10.23
2016-04-01,12.43,10.19
2016-05-01,12.79,10.31
2016-06-01,12.73,10.66
2016-07-01,12.68,10.68
2016-08-01,12.88,10.76
2016-09-01,12.87,10.77
2016-10-01,12.46,10.55
2016-11-01,12.75,10.32
2016-12-01,12.23,10.17
2017-01-01,12.21,10.21
2017-02-01,12.79,10.48
2017-03-01,12.89,10.46
2017-04-01,12.72,10.4
2017-05-01,13.07,10.59
2017-06-01,13.2,11.01
2017-07-01,13.08,10.97
2017-08-01,13.15,11.01
2017-09-01,13.28,11.03
2017-10-01,12.8,10.78
2017-11-01,12.94,10.49
2017-12-01,12.45,10.28
2018-01-01,12.22,10.49
2018-02-01,12.63,10.65
2018-03-01,12.97,10.51
2018-04-01,12.88,10.46
2018-05-01,13.12,10.51
2018-06-01,13.03,10.84
2018-07-01,13.13,11.0
2018-08-01,13.26,11.03
2018-09-01,13.01,10.72
2018-10-01,12.85,10.77
2018-11-01,12.9,10.54
2018-12-01,12.43,10.33
2019-01-01,12.47,10.3
2019-02-01,12.72,10.54
2019-03-01,12.84,10.46
2019-04-01,13.25,10.52
2019-05-01,13.31,10.54
2019-06-01,13.32,10.9
2019-07-01,13.26,11.02
2019-08-01,13.3,11.02
2019-09-01,13.16,10.96
2019-10-01,12.81,10.74
2019-11-01,13.03,10.57
2019-12-01,12.68,10.32
2020-01-01,12.76,10.18
2020-02-01,12.82,10.3
2020-03-01,13.04,10.34
2020-04-01,13.24,10.37
2020-05-01,13.1,10.4
2020-06-01,13.22,10.89
2020-07-01,13.21,10.84
2020-08-01,13.26,10.9
2020-09-01,13.49,11.02
2020-10-01,13.66,10.72
2020-11-01,13.31,10.53
2020-12-01,12.78,10.41
2021-01-01,12.62,10.27
2021-02-01,13.01,11.36
2021-03-01,13.24,11.08
2021-04-01,13.73,10.87
2021-05-01,13.86,10.86
2021-06-01,13.83,11.33
2021-07-01,13.83,11.46
2021-08-01,13.92,11.52
2021-09-01,14.14,11.65
2021-10-01,14.06,11.52
2021-11-01,14.07,11.29
2021-12-01,13.72,11.15
2022-01-01,13.64,11.26
2022-02-01,13.76,11.66
2022-03-01,14.41,11.65
2022-04-01,14.57,11.82
2022-05-01,14.89,12.0
2022-06-01,15.3,12.75
2022-07-01,15.31,13.02
2022-08-01,15.82,13.41
2022-09-01,16.19,13.28
2022-10-01,15.99,12.89
2022-11-01,15.55,12.33
2022-12-01,14.94,12.28
2023-01-01,15.47,12.61
2023-02-01,15.98,12.53
2023-03-01,16.04,12.36
2023-04-01,16.1,12.08
2023-05-01,16.14,12.16
2023-06-01,16.09,12.63
2023-07-01,15.86,12.91
2023-08-01,15.91,13.08
2023-09-01,16.27,13.07
2023-10-01,16.48,12.73
2023-11-01,16.19,12.43
2023-12-01,15.69,12.24
2024-01-01,15.47,12.59
2024-02-01,16.12,12.75
2024-03-01,16.69,12.73
2024-04-01,16.88,12.63
2024-05-01,16.43,12.48
2024-06-01,16.42,13.07
2024-07-01,16.63,13.58
2024-08-01,16.63,13.39
2024-09-01,16.83,13.47
