Month,Petroleum Exports to Brazil,Petroleum Exports to Canada,Petroleum Exports to China,Petroleum Exports to India,Petroleum Exports to Japan,Petroleum Exports to Mexico,Petroleum Exports to Netherlands,Petroleum Exports to Singapore,Petroleum Exports to South Korea,Petroleum Exports to United Kingdom,Petroleum Exports to Other Countries,Total Petroleum Exports
1991-08-01,22.548,80.774,0.032,0.065,95.194,104.903,42.387,23.355,53.161,2.871,412.071,837.361
1991-09-01,50.633,52.133,0.067,0.1,74.067,82.767,12.933,12.8,30.567,12.1,456.494,784.66
1991-10-01,7.71,93.548,17.677,0,72.871,104,105.677,32.419,34.71,7.613,441.546,917.771
1991-11-01,2.267,65,0.1,30.167,38.3,99.667,94.967,64.3,16.5,5.533,508.82,925.62
1991-12-01,0.29,80.226,18.258,28.226,95.581,100.774,113.452,67.355,88.645,35.935,584.671,1213.413
1992-01-01,1.613,37.774,59.839,23,82.194,127.677,137.548,26.355,52.419,43.355,552.046,1143.82
1992-02-01,10.448,28.862,32.207,5.759,64.069,92.345,124.862,16.69,113.793,11.448,351.095,851.578
1992-03-01,0.129,49.387,18.065,3.323,124.258,104.935,60.903,50.097,69.839,13.839,417.284,912.058
1992-04-01,17.433,64.167,38.367,0.433,134.3,122.267,20.133,91.867,70.1,10.2,367.943,937.21
1992-05-01,31.71,69.774,7.839,2.226,63.323,98.935,22.935,49.935,79.226,3.452,455.523,884.878
1992-06-01,38.9,58.067,7.267,2.267,62.9,103.267,35.967,58.2,100.6,9.667,479.972,957.072
1992-07-01,29.097,98.065,21.419,3,149.194,130.742,25.065,23.935,57.677,5.452,385.699,929.344
1992-08-01,14.871,86.484,7.871,0.194,60.419,134.871,17.065,21.581,52.484,6.516,386.889,789.244
1992-09-01,22.1,53.367,12.8,0.167,96.9,127.2,20.067,12.333,41.933,5.033,455.716,847.616
1992-10-01,14.452,57.742,7.387,15.774,96.387,134.194,29.097,38.258,48.839,20.161,440.117,902.407
1992-11-01,30.267,114.3,38.133,0.5,101.567,119.667,28.5,43.9,110.767,3.067,404.799,995.466
1992-12-01,26.806,50.355,22.613,23.032,166.452,189.581,102.548,21.161,159.742,6.387,468.517,1237.194
1993-01-01,12.516,76.419,14.71,27.419,131.258,115.645,50.71,56.29,98.71,11.387,539.672,1134.736
1993-02-01,16.214,52.036,29.786,0.393,71.643,106.536,39.429,32.25,89.714,14.571,580.435,1033.007
1993-03-01,21.258,70.032,31.645,8.71,154.452,117.742,14.226,20.71,51.323,0.935,478.716,969.748
1993-04-01,22.733,79.833,17.967,10.367,118.1,117.1,26.6,61.033,88.4,0.367,524.691,1067.191
1993-05-01,38.419,59.194,42.581,18.806,102.226,111,35.677,65.613,57.516,5.677,545.214,1081.924
1993-06-01,11.967,87.233,10.067,0.567,96.967,119.567,30.367,38.7,32,11.733,460.358,899.525
1993-07-01,19.839,98.871,26.516,0.839,114.548,108.903,57.387,14.871,93.355,8.71,456.922,1000.761
1993-08-01,11.419,64.613,29.581,0.032,80.613,91.839,51,28.806,37.806,5.484,428.122,829.316
1993-09-01,8.833,55.667,47.767,8.367,84.667,106.467,25.367,40.367,51.067,5.533,467.814,901.914
1993-10-01,16.097,81.387,20.419,0.871,67.226,78.032,31.71,69.548,61.839,24.323,429.833,881.285
1993-11-01,9.4,81.2,49.467,0.3,86.567,98.433,24.067,45.933,141.867,6.333,436.522,980.088
1993-12-01,2.387,54.645,32.581,8,152.323,143.419,150.774,83.968,86.71,22.677,512.772,1250.256
1994-01-01,2.194,62.194,18.258,3.742,73.323,89.194,45.419,93.516,86.032,5.29,447.791,926.953
1994-02-01,3.571,50.679,0.571,0.857,49.321,119.357,15.179,69.321,83.964,7.429,481.522,881.772
1994-03-01,8.581,56.903,9.065,1.097,95.129,112.774,46.839,36.129,70.29,19.194,480.144,936.144
1994-04-01,24.633,53.733,14.767,1.267,34.5,99.5,32.533,45.8,145.533,0.633,415.228,868.128
1994-05-01,10.806,81.387,0.516,0.677,60.806,122.484,34.258,136,67.194,0.387,414.869,929.385
1994-06-01,4.933,99.6,21.433,0.8,108.7,123,19.967,60.6,23.2,17.1,388.147,867.48
1994-07-01,2.839,80.613,1.387,0.097,51.29,117.032,34.935,39.129,43.774,4.548,501.66,877.305
1994-08-01,23.677,85.161,0.839,1.29,71.387,146.548,34.161,42.677,48.968,17.129,440.966,912.804
1994-09-01,11.733,87,0.1,1.2,87.133,118.167,23.9,42.333,31.3,13.8,474.638,891.305
1994-10-01,22.323,124.484,8.871,1.065,80.645,119.935,12.097,66.806,57.161,17.71,485.694,996.791
1994-11-01,27.467,73.433,8.633,1.033,76.9,130.667,37.633,96.967,40.467,6.867,499.747,999.814
1994-12-01,33.161,82.839,0.194,0.484,91.226,189.742,24.742,90.613,92.258,7.355,595.235,1207.848
1995-01-01,0.161,55.065,0.065,0.097,55.065,163.484,29.645,15.839,93.839,6.839,557.581,977.677
1995-02-01,3.357,58.786,0.107,1.643,88.643,150.607,28.179,65.286,80.571,25.393,559.071,1061.643
1995-03-01,11.129,57.742,5.226,1.548,58.452,129.484,35.194,68.903,59.742,2.065,518.323,947.806
1995-04-01,19.3,56.9,9.867,0.167,54.7,135.9,5.033,41.233,28.9,10.9,634.967,997.867
1995-05-01,60.677,63.742,1.129,1.323,69.258,101.677,22.161,48.032,47.419,13.774,447,876.194
1995-06-01,24.233,75.967,0.167,16.633,73.5,78.667,23.333,29.067,42.667,13.733,541.2,919.167
1995-07-01,3.613,66.71,0.097,0.548,79.806,117.419,36.226,64.548,28.129,6.419,491,894.516
1995-08-01,19.194,80.097,0.613,1,113.194,118.968,15.097,39.903,22.968,1.29,408.516,820.839
1995-09-01,15.033,59.5,0.167,0.8,42.433,121.9,68.467,39.667,24.967,3.067,429.133,805.133
1995-10-01,5.581,111.935,0.129,1.581,61.258,114.226,34.387,53.452,108.742,40.129,430.484,961.903
1995-11-01,5.633,85.733,0.1,2.9,76.2,125.733,31.6,33.267,69.967,29.967,540.967,1002.067
1995-12-01,19.774,97.484,3.097,9.774,139,138.645,66.516,49.516,81.323,18.032,511.581,1134.742
1996-01-01,26.323,95.774,6.226,7.452,81.097,137.548,15.774,55.839,92.097,6.935,544.968,1070.032
1996-02-01,11.517,81.69,1.31,0.931,137.793,125.034,18.241,37.724,98.586,7.034,527.966,1047.828
1996-03-01,87.097,66.742,13.484,0.806,50.29,127.71,15.839,30.452,42.677,5.097,426.581,866.774
1996-04-01,43.567,79.433,12.267,0.633,126.067,115.867,22.233,38.467,37.133,17.767,482.567,976.0
1996-05-01,12.774,53.032,11.419,0.548,108.387,136.323,28.161,24.806,42.613,6.129,466.677,890.871
1996-06-01,14.633,99.633,1.333,1.4,94.333,151.8,22.733,11.9,9.833,15.967,471.867,895.433
1996-07-01,15.71,94.097,18.935,0.323,113.71,155.935,9.484,28.839,22.71,5.935,479.065,944.742
1996-08-01,21.161,101.452,0.065,1.516,148.871,140.484,24.677,29.194,35.161,16.452,377.419,896.452
1996-09-01,54.3,132.767,0.233,0.133,103.1,142.667,85.767,23.567,50,6.7,504.6,1103.833
1996-10-01,20.516,108.935,1.419,0.839,69.871,150.839,169.774,17.452,120.645,0.935,383.806,1045.032
1996-11-01,26.267,99.4,26.9,10.7,95.667,159.667,67.1,39.833,83.733,6,408.833,1024.1
1996-12-01,17.032,111.548,3.161,10.645,102.161,176.419,39,67.516,82.161,8.065,395.161,1012.871
1997-01-01,14.742,106.968,147.871,9.581,114.194,119.677,65.194,38.387,51.419,5.419,364.484,1037.935
1997-02-01,12.5,107.464,0.143,0.393,42.393,180.321,9.143,36.286,88.786,14.036,525.036,1016.5
1997-03-01,15.903,118.29,9.71,0.548,73.968,181.387,14.968,28.161,77.871,7.129,404.806,932.742
1997-04-01,5.567,84.833,7.333,15.267,110.867,155.567,12.467,21.367,81,12.533,430.233,937.033
1997-05-01,14.935,70.645,32.839,0.903,70.581,133.645,34.419,37.258,42.516,12.032,426.71,876.484
1997-06-01,0.767,134.567,12.567,1.167,108.467,180.8,41.6,29.6,42.967,16.4,385.967,954.867
1997-07-01,23.29,122,17.032,1.032,126.935,204.806,47.29,42.548,53.871,12.839,360.484,1012.129
1997-08-01,22.774,166.839,4.484,0.516,146,216.548,37.355,6.903,15.548,6.355,450.968,1074.29
1997-09-01,23.6,178,0.3,1.267,105.1,221.333,38.2,19.267,40.2,14.267,355.233,996.767
1997-10-01,24.548,121.71,41.903,0.839,85.516,239.355,37.968,21.226,70.645,23.581,399.129,1066.419
1997-11-01,8.433,86.967,26.867,0.667,45.033,298,47.633,11.4,2.567,15.933,390.467,933.967
1997-12-01,16.742,132.613,7,52.355,110.355,353.774,104.935,27.774,35.258,9.387,347.129,1197.323
1998-01-01,10.065,151.677,54.419,0.677,122.677,231.097,25.839,12.581,91.29,7.71,424.903,1132.935
1998-02-01,3.393,194.536,46.393,0.929,45.893,228.214,28.464,2.25,3.464,16.536,432.857,1002.929
1998-03-01,15.645,136.484,38.323,1.613,58.355,188.419,37.935,1.032,29.613,20.548,419.581,947.548
1998-04-01,20.2,166.1,5.233,2.733,61.933,207.933,22.433,18,94.967,16.5,431.733,1047.767
1998-05-01,19.677,157.452,52.516,0.903,62.258,230.677,52.806,22.613,34.968,17.387,401.323,1052.581
1998-06-01,9.833,182.9,43.167,0.9,57.533,291.733,33.7,12.567,14.733,6.8,333.133,987.0
1998-07-01,21,189.452,38.968,8.065,44.581,259.258,32.645,8.258,8.452,6.484,381.032,998.194
1998-08-01,17.548,92,0.161,0.968,48.065,274.29,29.161,3.516,33.516,6.677,274.323,780.226
1998-09-01,13.5,124.333,6.867,0.5,73.4,250.533,46.533,21.5,8.767,5.2,311.367,862.5
1998-10-01,21.29,131.355,0.194,7.29,58.839,195.516,40.581,46.903,33.032,7.548,308,850.548
1998-11-01,20.133,144.867,0.367,0.167,65.967,207.767,2.933,24.767,3.667,16.733,294.533,781.9
1998-12-01,36.806,106.29,26.258,1.903,68.677,256.581,41.774,53,30.645,2.71,268.161,892.806
1999-01-01,17.581,102.097,41.774,0.645,44.226,199.387,35.29,60.516,26.903,1.581,365.613,895.613
1999-02-01,25.714,109.821,17.214,6.071,70.857,208.964,20.75,19.857,67.464,2.821,206.286,755.821
1999-03-01,38.839,105.935,0.194,0.452,56.581,159.29,11.839,39.355,36.548,1.323,313.968,764.323
1999-04-01,64.367,264.2,16.467,0.767,84.733,284.133,45.567,64.233,74.333,17.6,279.367,1195.767
1999-05-01,22.613,91.161,23.226,9.258,64.871,313.032,31.452,34.161,59.645,13.839,251.516,914.774
1999-06-01,17.867,114.933,7.133,1.567,83.967,288.167,20.2,28.4,56.733,2.767,285.367,907.1
1999-07-01,5.581,83.581,52.161,3.387,112.71,273.71,32.097,49.129,26.774,0.516,278.323,917.968
1999-08-01,3.645,102.677,10,0.323,166.097,211.871,64.677,41.032,32.903,4.065,264.355,901.645
1999-09-01,30,129.567,17.8,1.5,77.9,325.133,27.6,25.9,29.733,1.8,222,888.933
1999-10-01,55.065,74.452,15.645,0.968,67.032,294.484,54.29,36.129,63.065,13.903,268.935,943.968
1999-11-01,20.033,136.433,30.3,1.067,92.2,245.2,45.433,22.767,11.267,13.4,331.667,949.767
1999-12-01,18.968,115.226,0.29,13.452,90.516,330.226,63.548,111.613,98.806,33.258,353.806,1229.71
2000-01-01,17,128.774,0.323,2.516,119.452,314.387,36.935,23.548,61.581,17.097,284.355,1005.968
2000-02-01,17.034,71.931,0.31,5.172,84.655,315.517,20.345,22.069,44.172,10.172,278.207,869.586
2000-03-01,55.742,146.677,0.29,2.903,146.258,294.613,19.871,104.161,1.516,15.484,371.097,1158.613
2000-04-01,4.567,83.233,8.467,1.1,147.833,368.433,35.667,6.4,68.1,1.333,405.833,1130.967
2000-05-01,24.645,117.774,0.29,5.613,65.097,288.355,30.452,34.097,1.387,7.097,281.548,856.355
2000-06-01,33.633,84.8,0.233,0.233,108.1,308.5,45.733,12.967,9.6,1.367,319.7,924.867
2000-07-01,27.581,93.903,11.194,0.419,79.516,232.129,42.419,53,11.71,5.452,342.742,900.065
2000-08-01,20.935,95.806,0.71,0.065,63.935,430,59.387,31.581,9.355,15.516,345.968,1073.258
2000-09-01,31.467,113.5,0.7,13.633,71.633,391.533,45.9,21.2,1,1.233,367,1058.8
2000-10-01,51.516,139.452,13.097,0.387,68.774,528.484,61.613,51,18.29,25.839,333.613,1292.065
2000-11-01,25.033,145.3,0.2,0.933,75.933,394.7,48.667,16.6,2.033,11.867,386.667,1107.933
2000-12-01,23.903,98.903,0.194,1.71,46.581,423.677,51.806,48.032,10.387,1.935,387.71,1094.839
2001-01-01,31.258,103.71,0.194,0.226,74.387,315.161,20.903,25.839,15.226,15.452,351.484,953.839
2001-02-01,22.25,106.214,1.464,1,68.25,390.821,28.25,15.214,22.036,9.571,339.393,1004.464
2001-03-01,28.806,117.806,13.548,0.548,51.645,307.903,35.839,20.323,13.097,1.806,346.581,937.903
2001-04-01,16.733,99.4,18.8,6.933,78.733,250.1,22.6,98.633,4.733,1.2,344.067,941.933
2001-05-01,6.129,172.742,6.355,0.935,73.419,216.258,46.613,110.258,14.032,9.226,412.677,1068.645
2001-06-01,38.1,146,0.967,0.467,46.033,261.833,53.1,67.967,10.2,20.1,330.767,975.533
2001-07-01,49.032,106.484,0.839,5,55.548,259.806,38.387,45.677,7.452,12.935,297.806,878.968
2001-08-01,29.065,125.516,1.097,5.323,69.806,246.645,27.129,79.065,21.355,23.097,420.065,1048.161
2001-09-01,17.433,102.933,0.9,2.267,34.467,228.533,36.733,116.833,0.867,6.933,277.167,825.067
2001-10-01,7.581,107.258,7.387,7.742,75.839,271,36.871,27.29,15.516,9.806,380.097,946.387
2001-11-01,12.633,94.433,4.3,0.267,93.667,237.3,82.333,63.4,24.6,27.333,319.333,959.6
2001-12-01,18.839,57.935,11.032,5.581,21.452,308.355,112.323,131.839,15.806,22.903,402.968,1109.032
2002-01-01,31.065,102.323,20.258,4.839,52.161,191.645,59.871,27.613,0.935,15.548,354.419,860.677
2002-02-01,31.25,70.821,11.393,0.821,104.893,249.571,80.357,129.214,10.893,27.964,457.393,1174.571
2002-03-01,41.903,78.935,0.613,0.613,60.29,227.129,24.806,95,6.387,10.677,306.548,852.903
2002-04-01,22.4,87.467,14.867,2.2,77.433,231.467,3.467,54.433,6.2,0.533,389.1,889.567
2002-05-01,17.677,103.742,28.161,1.129,63.419,216.871,37.613,27.742,18.968,18.258,376.677,910.258
2002-06-01,34.2,105.067,22.833,5.2,71.7,217.867,14.033,81.1,9.433,0.133,318.1,879.667
2002-07-01,4.613,149.935,0.516,1.032,44.484,213.581,16.387,37.935,10.968,11.903,347.581,838.935
2002-08-01,29.419,146.258,0.516,14.387,104.065,257.677,3.323,179.065,7.29,2.548,393.355,1137.903
2002-09-01,16.567,94.833,44.033,0.233,69.233,297.067,3.4,129.7,11.033,20.5,328.833,1015.433
2002-10-01,23.645,133.774,8.161,0.452,80.355,273.548,16.258,56.774,9.677,15.548,343.645,961.839
2002-11-01,14.267,115.967,0.9,0.9,83.467,307.667,15.133,127.133,0.4,3.767,356.433,1026.033
2002-12-01,45.29,82.839,21.839,0.581,74.29,366.387,7.419,38.71,35.968,13,585.613,1271.935
2003-01-01,35.806,158.516,0.806,2.194,71,320.871,10.935,27.452,13.065,0.71,570.613,1211.968
2003-02-01,33.786,132.821,7.464,7.357,63.786,243.25,26.321,17.429,8.929,9.321,516.429,1066.893
2003-03-01,38.161,128.645,13.935,5.258,45.742,224.032,2.71,6.774,15.742,7.226,563.065,1051.29
2003-04-01,33.867,149.367,26.633,0.933,84.167,207.667,13.967,105.2,14.167,0.633,416.067,1052.667
2003-05-01,26.161,134.387,64.452,12.323,68.806,281,5.742,50.355,0.387,0.452,452.871,1096.935
2003-06-01,8.133,179.8,4.2,0.8,69.6,213.2,3.467,121.033,10.7,0.433,453.733,1065.1
2003-07-01,8.161,154.419,45,4.452,40.903,186.613,22.29,95.516,14.548,5.935,397.935,975.774
2003-08-01,29.419,146.032,41.387,3.065,86.032,180.129,4.871,47.677,11.226,16,381.161,947.0
2003-09-01,20.3,108.767,24.933,3.167,98.7,230.733,24,27.6,7.467,11.433,402.533,959.633
2003-10-01,31.613,162.484,13.387,12.387,61.839,217.581,5.806,41.419,2.645,5.806,415.29,970.258
2003-11-01,17.433,135.1,38.067,17.3,57,188.6,37.4,41.367,17.033,5.8,377.4,932.5
2003-12-01,42.452,96.871,11.065,17.032,84.323,246.742,24.161,31.355,4.258,8.032,423.645,989.935
2004-01-01,11.032,124.968,10.387,3.677,62.097,173.387,16.097,7.742,6.935,25.032,307.097,748.452
2004-02-01,37.793,130.897,1.103,3.621,61.276,234.103,18.655,25.793,7.931,3.345,521,1045.517
2004-03-01,23.871,166.032,1.484,8.677,66.387,237.806,29.806,2.194,11.032,11.097,465.774,1024.161
2004-04-01,31.6,170.033,50.733,27.767,70.633,207.267,6.033,92.333,12.567,3.7,480.733,1153.4
2004-05-01,19.968,159.161,5.129,14.806,38.935,203.903,31.871,134.871,4.613,23.355,415.258,1051.871
2004-06-01,24.7,177.8,21.2,24.267,66.333,130.533,47.9,17.967,3.033,28,527.833,1069.567
2004-07-01,27.323,158.387,24.419,14.419,58.516,150.581,30.419,42.355,5.774,17.452,549.968,1079.613
2004-08-01,29.742,147.097,7.968,19.548,77.161,203.323,51.968,39.258,19.839,18.032,476.903,1090.839
2004-09-01,30.6,153.367,21.1,4.633,62.367,202.1,27.133,33.667,1.5,0.733,423.933,961.133
2004-10-01,41.258,139.581,13.677,2.161,61.516,254.613,38.645,31.484,25.484,1.161,468.129,1077.71
2004-11-01,34.3,175.467,3.033,1.533,71.1,233,43.433,16.433,25.867,7.367,380.1,991.633
2004-12-01,14.806,191,1.516,7.419,54.452,274.355,92.516,49.29,18.194,31.871,548.129,1283.548
2005-01-01,32.544,172.706,0.68,15.376,46.884,254.525,13.594,25.937,9.947,13.235,331.248,916.676
2005-02-01,40.509,159.225,3,0.12,81.962,286.225,48.083,131.257,12.559,19.224,474.027,1256.19
2005-03-01,41.349,191.751,1.376,2.342,78.443,285.517,28.039,36.087,10.526,9.015,623.728,1308.173
2005-04-01,34.364,213.868,9.758,0.129,30.552,242.353,42.164,49.527,19.812,53.194,633.797,1329.517
2005-05-01,46.507,269.934,1.126,7.097,21.73,277.595,10.086,52.57,21.649,47.421,623.923,1379.636
2005-06-01,55.222,204.079,24.119,8.863,48.725,319.139,25.96,89.934,10.522,35.777,654.728,1477.069
2005-07-01,58.39,175.01,16.283,23.7,41.573,314.611,41.711,54.96,18.962,12.481,501.531,1259.214
2005-08-01,43.219,217.485,34.966,19.287,62.165,300.688,25.155,18.35,22.768,24.135,527.273,1295.491
2005-09-01,36.053,140.97,17.87,14.282,53.227,207.451,13.516,16.19,2.485,8.11,333.361,843.515
2005-10-01,34.9,122.361,5.32,10.034,71.099,195.456,9.606,4.504,33.431,0.285,367.134,854.129
2005-11-01,22.747,184.464,18.659,15.33,50.866,223.57,29.333,6.844,14.789,18.535,375.468,960.605
2005-12-01,23.56,115.628,11.554,12.063,89.283,309.623,15.778,40.18,19.015,15.998,453.201,1105.882
2006-01-01,41.366,151.452,7.071,11.355,73.184,214.488,12.848,5.934,25.959,8.581,507.014,1059.251
2006-02-01,39.681,117.846,16.044,13.051,83.991,266.975,32.994,38.937,19.067,53.165,593.999,1275.751
2006-03-01,43.584,169.534,14.847,9.134,30.697,293.176,51.57,46.276,21.889,15.84,472.988,1169.535
2006-04-01,41.331,125.902,38.385,10.76,37.986,307.285,67.645,79.826,15.497,22.055,651.806,1398.478
2006-05-01,40.243,156.238,7.358,17.776,56.989,292.63,94.67,66.167,23.744,18.042,575.993,1349.848
2006-06-01,40.682,182.755,14.48,13.352,72.064,199.84,93.906,36.393,35.582,16.422,628.686,1334.162
2006-07-01,47.686,213.331,2.469,1.342,57.05,233.976,85.712,35.982,23.751,33.823,651.991,1387.112
2006-08-01,40.792,133.558,12.696,3.409,52.541,198.019,62.37,74.626,32.633,34.568,609.69,1254.902
2006-09-01,52.446,168.63,0.889,0.94,64.552,229.807,234.942,13.784,16.873,42.478,728.855,1554.194
2006-10-01,35.475,167.463,0.88,0.508,63.814,296.587,70.376,69.293,12.027,63.151,726.916,1506.489
2006-11-01,52.918,159.606,15.549,3.406,64.442,288.254,99.617,57.416,13.048,17.057,581.834,1353.147
2006-12-01,26.052,156.783,1.693,16.428,37.556,237.732,92.21,10.39,15.384,8.807,561.456,1164.492
2007-01-01,77.38,143.579,1.202,14.696,74.017,233.012,142.202,91.371,12.409,11.763,643.907,1445.536
2007-02-01,66.572,140.196,9.998,12.494,53.485,242.117,91.405,67.174,12.586,2.81,650.844,1349.68
2007-03-01,20.977,206.203,2.148,26.321,31.06,321.44,134.09,21.155,17.938,3.559,489.603,1274.493
2007-04-01,46.108,140.273,32.644,11.672,72.234,259.802,41.447,116.783,24.569,1.401,612.914,1359.847
2007-05-01,40.632,199.467,14.909,9.078,75.003,300.017,75.628,47.301,6.598,7.951,664.208,1440.792
2007-06-01,30.754,197.157,11.954,22.599,40.55,280.486,5.787,35.73,26.23,0.756,679.376,1331.378
2007-07-01,68.655,202.745,20.418,11.525,66.018,247.448,71.676,68.963,25.012,2.149,721.113,1505.722
2007-08-01,35.666,199.824,31.795,16.36,47.372,270.007,52.306,123.406,0.823,0.766,704.528,1482.853
2007-09-01,38.126,219.157,3.38,18.438,30.748,253.556,90.244,67.977,13.947,1.755,623.571,1360.899
2007-10-01,52.252,141.822,1.654,14.69,56.37,236.338,31.582,10.334,13.157,18.701,748.241,1325.141
2007-11-01,59.504,245.809,14.127,0.756,81.18,420.87,90.577,80.527,12.612,33.45,727.266,1766.678
2007-12-01,21.794,228.155,19.057,12.021,20.847,279.56,140.758,116.455,24.017,23.874,655.833,1542.371
2008-01-01,47.246,250.367,3.81,16.197,62.74,356.731,110.624,50.448,17.351,0.252,703.903,1619.667
2008-02-01,73.572,233.773,1.818,5.379,28.923,349.796,84.007,108.641,19.133,13.981,928.843,1847.866
2008-03-01,29.725,274.999,25.035,8.736,53.007,356.192,106.44,94.084,7.727,9.441,841.738,1807.123
2008-04-01,73.618,243.874,12.414,0.92,75.156,374.246,72.211,74.868,15.572,32.098,763.967,1738.944
2008-05-01,32.3,236.24,29.292,13.853,61.892,338.303,81.602,87.953,0.393,29.339,881.719,1792.887
2008-06-01,77.991,239.964,14.272,9.313,59.582,442.533,147.412,95.009,30.404,10.092,1019.725,2146.297
2008-07-01,66.994,275.654,7.459,3.965,43.338,408.227,157.955,48.158,19.305,40.573,979.589,2051.218
2008-08-01,85.296,243.178,2.529,17.418,58.701,342.678,148.523,55.033,12.71,28.722,1058.345,2053.134
2008-09-01,51.618,253.122,16.834,6.079,68.542,240.502,25.595,59.942,22.204,9.435,568.639,1322.511
2008-10-01,53.666,359.005,3.139,6.455,51.688,233.465,123.862,91.978,27.517,0.761,706.01,1657.547
2008-11-01,28.69,272.976,21.229,8.164,39.242,243.278,213.515,88.383,26.699,16.974,761.153,1720.303
2008-12-01,34.213,278.297,21.639,19.897,40.709,308.745,291.567,75.64,22.869,14.861,747.473,1855.911
2009-01-01,67.868,226.817,35.835,68.316,36.833,282.256,202.799,97.557,24.713,25.042,853.469,1921.506
2009-02-01,41.723,229.031,74.788,28.384,47.079,246.141,172.275,63.476,34.853,0.068,869.85,1807.668
2009-03-01,30.396,178.068,78.3,32.19,39.811,233.581,217.475,174.263,7.183,28.916,817.48,1837.662
2009-04-01,20.975,211.76,107.461,29.589,68.808,213.13,261.32,101.174,12.674,44.873,828.563,1900.327
2009-05-01,34.613,231.759,33.121,37.74,38.627,330.279,259.991,31.816,30.675,26.762,959.7,2015.083
2009-06-01,43.996,200.319,42.774,53.815,29.318,398.041,144.693,144.254,10.609,28.671,866.205,1962.695
2009-07-01,45.57,220.905,30.357,15.087,86.912,454.802,207.003,197.465,39.641,30.209,1020.229,2348.181
2009-08-01,67.693,242.159,21.736,49.152,79.807,308.591,187.464,82.815,26.528,62.582,990.399,2118.927
2009-09-01,59.11,215.631,7.194,7.497,67.836,344.779,224.135,154.299,7.025,56.57,960.981,2105.057
2009-10-01,83.222,232.276,22.131,23.975,56.667,320.681,152.452,198.963,48.323,45.216,1038.898,2222.804
2009-11-01,57.538,244.235,30.877,2.77,57.692,314.955,225.898,71.487,13.255,18.211,992.087,2029.006
2009-12-01,101.995,238.963,43.388,15.197,87.448,406.412,55.108,62.339,22.436,28.571,934.498,1996.355
2010-01-01,55.752,248.3,53.299,5.904,97.049,319.967,39.196,124.009,22.737,16.018,914.458,1896.688
2010-02-01,88.113,239.73,36.692,17.371,58.18,380.893,60.565,184.808,12.947,21.48,933.124,2033.902
2010-03-01,105.792,229.276,54.92,14.703,41.472,448.825,28.689,144.93,7.353,17.625,1055.498,2149.084
2010-04-01,145.731,241.532,47.101,6.095,97.801,504.542,96.994,145.027,8.102,25.906,1113.64,2432.47
2010-05-01,82.769,215.084,40.394,9.26,140.047,348.307,127.227,111.233,6.933,28.158,1289.68,2399.093
2010-06-01,148.933,218.845,76.417,0.558,96.329,434.095,195.141,58.227,20.697,9.903,1044.762,2303.907
2010-07-01,247.037,264.711,13.946,1.645,93.255,467.068,153.527,118.302,26.06,20.653,1109.881,2516.085
2010-08-01,161.447,202.964,35.389,11.599,100.489,372.922,185.257,207.895,11.834,11.339,1109.142,2410.276
2010-09-01,159.322,278.067,54.347,4.579,64.985,326.76,264.921,118.977,11.102,12.647,1048.859,2344.566
2010-10-01,136.076,217.743,40.452,19.595,90.996,505.02,295.1,52.099,10.546,28.852,1083.51,2479.988
2010-11-01,75.148,218.836,64.111,18.296,97.738,551.603,318.521,105.583,0.746,15.287,1132.62,2598.487
2010-12-01,72.947,226.19,103.758,11.578,79.539,707.699,208.677,170.89,15.787,23.245,1023.714,2644.026
2011-01-01,125.221,321.964,49.132,14.805,54.617,544.275,212.279,127.222,9.23,7.359,1284.113,2750.216
2011-02-01,92.684,277.603,45.77,15.65,67.609,511.648,180.168,143.21,11.545,11.815,1276.782,2634.484
2011-03-01,138.016,305.05,49.836,1.532,83.6,621.747,167.481,71.922,29.26,29.734,1234.382,2732.559
2011-04-01,120.284,399.233,48.707,14.526,49.228,638.086,286.648,99.161,10.817,31.871,1372.858,3071.417
2011-05-01,135.154,363.027,42.921,1.238,62.873,582.614,312.322,54.542,27.851,31.646,1120.893,2735.08
2011-06-01,112.598,386.294,42.09,0.862,78.799,521.199,162.942,115.712,8.589,33.806,1252.913,2715.804
2011-07-01,155.796,390.841,26.329,23.864,145.179,448.823,227.351,126.451,14.702,30.504,1462.98,3052.82
2011-08-01,165.231,336.905,35.408,17.912,86.208,492.127,256.386,212.033,0.845,40.189,1359.162,3002.408
2011-09-01,243.9,360.534,76.24,18.975,83.816,610.488,331.428,175.956,7.101,59.284,1206.371,3174.095
2011-10-01,257.322,321.023,131.503,28.007,75.852,592.251,285.897,72.463,17.914,19.474,1305.617,3107.321
2011-11-01,169.983,366.475,166.679,25.228,61.657,686.38,204.247,109.697,27.088,55.724,1285.598,3158.755
2011-12-01,159.789,384.587,163.686,38.854,96.436,584.576,347.718,143.943,11.987,62.292,1673.467,3667.336
2012-01-01,111.866,372.679,100.503,29.762,70.312,530.894,272.543,76.619,17.137,12.88,1274.409,2869.603
2012-02-01,110.22,442.503,123.528,39.197,82.424,480.304,160.85,52.097,25.879,59.168,1417.787,2993.958
2012-03-01,200.726,385.192,118.792,18.66,82.792,604.627,175.385,98.957,17.296,37.067,1376.393,3115.887
2012-04-01,189.342,381.883,78.449,26.595,109.834,463.702,227.379,78.829,24.08,61.716,1629.966,3271.773
2012-05-01,118.856,413.673,55.461,33.169,71.474,514.343,263.974,134.991,17.358,29.696,1554.358,3207.354
